Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,12-Oct-2018,,,,,,,,,,12:15,3.07,2.09,,N/A,N/A,3.07,2.09,949.12,949.12,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-65,07-Jun-2016,951.56,952.46,0.91,5.00,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,14:40,3.38,2.47,,N/A,N/A,3.38,2.47,949.08,949.08,6.02,N/M,645670.677,5867687.532
,18-Oct-2016,,,,,,,,,,15:30,2.69,1.78,,N/A,N/A,2.69,1.78,949.77,949.77,5.94,N/M,,
,30-May-2017,,,,,,,,,,11:55,2.15,1.24,,N/A,N/A,2.15,1.24,950.31,950.31,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:05,2.41,1.50,,N/A,N/A,2.41,1.50,950.05,950.05,6.01,N/M,,
,15-May-2018,,,,,,,,,,15:55,3.93,3.02,,N/A,N/A,3.93,3.02,948.53,948.53,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,14:25,2.77,1.86,,N/A,N/A,2.77,1.86,949.69,949.69,6.02,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-66,07-Jun-2016,950.29,951.28,1.00,5.40,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,14:30,3.440,2.444,3.435,0.005,0.004,3.436,2.440,947.843,947.847,5.63,N/M,645608.668,5867683.672
,19-Oct-2016,,,,,,,,,,08:30,2.855,1.859,2.850,0.005,0.004,2.851,1.855,948.428,948.432,N/M,N/M,,
,30-May-2017,,,,,,,,,,13:50,2.14,1.14,,N/A,N/A,2.14,1.14,949.14,949.14,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:45,2.48,1.48,,N/A,N/A,2.48,1.48,948.80,948.80,5.62,N/M,,
,15-May-2018,,,,,,,,,,16:00,3.60,2.60,,N/A,N/A,3.60,2.60,947.68,947.68,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,14:40,3.094,2.098,3.080,0.014,0.011,3.083,2.087,948.189,948.200,N/M,N/M,,
,12-Oct-2018,,,,,,,,,,---,3.39,2.39,,N/A,N/A,3.39,2.39,947.89,947.89,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-4,07-Jun-2016,952.73,952.98,0.25,5.00,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,15:25,2.05,1.80,,N/A,N/A,2.05,1.80,950.93,950.93,7.12,N/M,645754.812,5867809.177
,19-Oct-2016,,,,,,,,,,11:06,1.51,1.26,,N/A,N/A,1.51,1.26,951.47,951.47,N/M,N/M,,
,31-May-2017,,,,,,,,,,11:00,1.61,1.36,,N/A,N/A,1.61,1.36,951.37,951.37,7.28,N/M,,
,18-Oct-2017,,,,,,,,,,16:20,1.75,1.50,,N/A,N/A,1.75,1.50,951.23,951.23,7.21,N/M,,
,16-May-2018,,,,,,,,,,11:20,2.46,2.21,,N/A,N/A,2.46,2.21,950.52,950.52,7.34,N/M,,
,11-Oct-2018,,,,,,,,,,09:25,1.57,1.32,,N/A,N/A,1.57,1.32,951.41,951.41,N/M,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.80,1.55,,N/A,N/A,1.80,1.55,951.18,951.18,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-5-2,07-Jun-2016,952.52,953.13,0.61,5.00,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,09:25,2.47,1.86,,N/A,N/A,2.47,1.86,950.66,950.66,6.76,N/M,645680.193,5867809.622
,18-Oct-2016,,,,,,,,,,10:45,1.83,1.22,,N/A,N/A,1.83,1.22,951.30,951.30,N/M,N/M,,
,30-May-2017,,,,,,,,,,16:05,2.01,1.40,,N/A,N/A,2.01,1.40,951.12,951.12,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,14:05,1.94,1.33,,N/A,N/A,1.94,1.33,951.19,951.19,6.77,N/M,,
,16-May-2018,,,,,,,,,,08:20,3.05,2.44,,N/A,N/A,3.05,2.44,950.08,950.08,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,13:00,1.92,1.31,,N/A,N/A,1.92,1.31,951.21,951.21,6.77,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-7,07-Jun-2016,952.34,953.72,1.38,5.00,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,13:20,3.21,1.83,,N/A,N/A,3.21,1.83,950.51,950.51,7.17,N/M,645694.788,5867739.492
,19-Oct-2016,,,,,,,,,,10:50,5.56,4.18,,N/A,N/A,5.56,4.18,948.16,948.16,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:15,2.49,1.11,,N/A,N/A,2.49,1.11,951.23,951.23,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,14:15,2.66,1.28,,N/A,N/A,2.66,1.28,951.06,951.06,7.13,N/M,,
,16-May-2018,,,,,,,,,,08:10,3.48,2.10,,N/A,N/A,3.48,2.10,950.24,950.24,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:40,2.73,1.35,,N/A,N/A,2.73,1.35,950.99,950.99,7.13,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-13-2,06-Jun-2016,951.19,951.74,0.55,5.00,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,16:25,7.57,7.02,,N/A,N/A,7.57,7.02,944.17,944.17,7.73,N/M,645730.868,5867929.738
,18-Oct-2016,,,,,,,,,,10:37,5.37,4.82,,N/A,N/A,5.37,4.82,946.37,946.37,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:20,5.03,4.48,,N/A,N/A,5.03,4.48,946.71,946.71,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:20,5.17,4.62,,N/A,N/A,5.17,4.62,946.57,946.57,N/M,N/M,,
,16-May-2018,,,,,,,,,,10:35,5.36,4.81,,N/A,N/A,5.36,4.81,946.38,946.38,7.73,N/M,,
,10-Oct-2018,,,,,,,,,,11:05,4.81,4.26,,N/A,N/A,4.81,4.26,946.93,946.93,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-38-2,07-Jun-2016,953.23,953.90,0.67,8.00,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,08:40,4.60,3.93,,N/A,N/A,4.60,3.93,949.30,949.30,8.45,N/M,645671.935,5867876.935
,18-Oct-2016,,,,,,,,,,10:10,2.36,1.69,,N/A,N/A,2.36,1.69,951.54,951.54,N/M,N/M,,
,31-May-2017,,,,,,,,,,16:40,2.08,1.41,,N/A,N/A,2.08,1.41,951.82,951.82,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:45,N/M,N/M,,N/A,N/A,N/A,N/A,N/A,N/A,N/M,N/M,,
,17-May-2018,,,,,,,,,,09:10,4.10,3.43,,N/A,N/A,4.10,3.43,949.80,949.80,8.41,N/M,,
,12-Oct-2018,,,,,,,,,,10:25,2.50,1.83,,N/A,N/A,2.50,1.83,951.40,951.40,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-8,07-Jun-2016,952.54,953.06,0.52,5.00,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,15:35,3.05,2.53,,N/A,N/A,3.05,2.53,950.01,950.01,7.78,N/M,645698.170,5867670.803
,19-Oct-2016,,,,,,,,,,09:05,2.41,1.89,,N/A,N/A,2.41,1.89,950.65,950.65,N/M,N/M,,
,31-May-2017,,,,,,,,,,08:45,1.93,1.41,,N/A,N/A,1.93,1.41,951.13,951.13,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:27,2.26,1.74,,N/A,N/A,2.26,1.74,950.80,950.80,7.78,N/M,,
,15-May-2018,,,,,,,,,,15:40,3.80,3.28,,N/A,N/A,3.80,3.28,949.26,949.26,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,14:15,2.83,2.31,,N/A,N/A,2.83,2.31,950.23,950.23,7.78,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-19,07-Jun-2016,952.03,952.75,0.72,6.00,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,14:25,2.68,1.96,,N/A,N/A,2.68,1.96,950.07,950.07,6.55,N/M,645683.006,5867639.950
,18-Oct-2016,,,,,,,,,,14:50,1.76,1.04,,N/A,N/A,1.76,1.04,950.99,950.99,N/M,N/M,,
,30-May-2017,,,,,,,,,,16:55,1.79,1.07,,N/A,N/A,1.79,1.07,950.96,950.96,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:15,2.13,1.41,,N/A,N/A,2.13,1.41,950.62,950.62,6.54,N/M,,
,15-May-2018,,,,,,,,,,15:45,3.16,2.44,,N/A,N/A,3.16,2.44,949.59,949.59,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,13:30,2.41,1.69,,N/A,N/A,2.41,1.69,950.34,950.34,6.55,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
TH6B,07-Jun-2016,953.30,953.60,0.30,3.40,949.90,3.20 - 3.40,950.10 - 949.90,N/A,N/A,17:10,> 2.24,> 1.94,,N/A,N/A,> 2.24,> 1.94,< 951.36,< 951.36,2.24,N/M,645811.000,5867641.000
,19-Oct-2016,,,,,,,,,,09:30,1.53,1.23,,N/A,N/A,1.53,1.23,952.07,952.07,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:00,1.69,1.39,,N/A,N/A,1.69,1.39,951.91,951.91,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-1,06-Jun-2016,952.56,953.10,0.54,6.50,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,16:00,6.16,5.62,,N/A,N/A,6.16,5.62,946.94,946.94,8.63,N/M,645849.626,5867739.616
,19-Oct-2016,,,,,,,,,,10:12,4.30,3.76,,N/A,N/A,4.30,3.76,948.80,948.80,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:00,4.40,3.86,,N/A,N/A,4.40,3.86,948.70,948.70,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:35,4.85,4.31,,N/A,N/A,4.85,4.31,948.25,948.25,N/M,N/M,,
,16-May-2018,,,,,,,,,,12:20,6.99,6.45,,N/A,N/A,6.99,6.45,946.11,946.11,8.62,N/M,,
,10-Oct-2018,,,,,,,,,,17:55,5.00,4.46,,N/A,N/A,5.00,4.46,948.10,948.10,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-3,07-Jun-2016,952.41,952.87,0.46,7.00,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,16:30,3.41,2.95,,N/A,N/A,3.41,2.95,949.46,949.46,8.86,N/M,645818.705,5867807.413
,19-Oct-2016,,,,,,,,,,10:25,2.16,1.70,,N/A,N/A,2.16,1.70,950.71,950.71,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:45,2.79,2.33,,N/A,N/A,2.79,2.33,950.08,950.08,8.87,N/M,,
,18-Oct-2017,,,,,,,,,,15:35,2.66,2.20,,N/A,N/A,2.66,2.20,950.21,950.21,8.87,N/M,,
,16-May-2018,,,,,,,,,,11:05,4.49,4.03,,N/A,N/A,4.49,4.03,948.38,948.38,8.86,N/M,,
,11-Oct-2018,,,,,,,,,,09:18,2.29,1.83,,N/A,N/A,2.29,1.83,950.58,950.58,8.86,N/M,,
,26-Oct-2018,,,,,,,,,,---,2.51,2.05,,N/A,N/A,2.51,2.05,950.36,950.36,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-37-2,07-Jun-2016,951.21,951.70,0.49,7.00,944.21,3.45 - 7.00,947.76 - 944.21,N/A,N/A,08:50,4.42,3.93,,N/A,N/A,4.42,3.93,947.28,947.28,6.87,N/M,645805.773,5867874.962
,19-Oct-2016,,,,,,,,,,11:58,3.52,3.03,,N/A,N/A,3.52,3.03,948.18,948.18,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:50,3.89,3.40,,N/A,N/A,3.89,3.40,947.81,947.81,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:45,3.61,3.12,,N/A,N/A,3.61,3.12,948.09,948.09,6.94,N/M,,
,16-May-2018,,,,,,,,,,09:50,5.45,4.96,,N/A,N/A,5.45,4.96,946.25,946.25,6.94,N/M,,
,09-Oct-2018,,,,,,,,,,13:35,3.34,2.85,,N/A,N/A,3.34,2.85,948.36,948.36,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-61,07-Jun-2016,951.97,952.96,0.99,5.80,946.17,2.80 - 5.80,949.17 - 946.17,N/A,N/A,08:10,4.77,3.78,,N/A,N/A,4.77,3.78,948.19,948.19,6.73,N/M,645851.026,5867822.418
,19-Oct-2016,,,,,,,,,,11:37,3.51,2.52,,N/A,N/A,3.51,2.52,949.45,949.45,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:30,4.46,3.47,,N/A,N/A,4.46,3.47,948.50,948.50,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,15:50,4.07,3.08,,N/A,N/A,4.07,3.08,948.89,948.89,6.71,N/M,,
,16-May-2018,,,,,,,,,,10:55,6.23,5.24,,N/A,N/A,6.23,5.24,946.73,946.73,N/M,N/M,,
,11-Oct-2018,,,,,,,,,,09:10,3.92,2.93,,N/A,N/A,3.92,2.93,949.04,949.04,6.74,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
12-1,07-Jun-2016,952.69,953.56,0.87,4.30,948.39,1.30 - 4.30,951.39 - 948.39,N/A,N/A,15:10,2.08,1.21,,N/A,N/A,2.08,1.21,951.48,951.48,5.27,N/M,645775.317,5867756.638
,19-Oct-2016,,,,,,,,,,10:35,1.70,0.83,,N/A,N/A,1.70,0.83,951.86,951.86,N/M,N/M,,
,31-May-2017,,,,,,,,,,11:45,1.62,0.75,,N/A,N/A,1.62,0.75,951.94,951.94,4.37,N/M,,
,18-Oct-2017,,,,,,,,,,14:55,1.81,0.94,,N/A,N/A,1.81,0.94,951.75,951.75,4.37,N/M,,
,16-May-2018,,,,,,,,,,11:35,2.71,1.84,,N/A,N/A,2.71,1.84,950.85,950.85,N/M,N/M,,
,11-Oct-2018,,,,,,,,,,10:03,1.61,0.74,,N/A,N/A,1.61,0.74,951.95,951.95,N/M,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.75,0.88,,N/A,N/A,1.75,0.88,951.81,951.81,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-01,07-Jun-2016,952.58,953.32,0.73,4.50,948.08,1.50 - 4.50,951.08 - 948.08,N/A,N/A,15:05,2.12,1.39,,N/A,N/A,2.12,1.39,951.20,951.20,5.55,N/M,645805.438,5867759.995
,19-Oct-2016,,,,,,,,,,10:25,1.59,0.86,,N/A,N/A,1.59,0.86,951.73,951.73,N/M,N/M,,
,31-May-2017,,,,,,,,,,11:40,1.71,0.98,,N/A,N/A,1.71,0.98,951.61,951.61,5.57,N/M,,
,18-Oct-2017,,,,,,,,,,15:20,1.93,1.20,,N/A,N/A,1.93,1.20,951.39,951.39,5.56,N/M,,
,16-May-2018,,,,,,,,,,12:25,2.96,2.23,,N/A,N/A,2.96,2.23,950.36,950.36,5.56,N/M,,
,11-Oct-2018,,,,,,,,,,10:15,1.62,0.89,,N/A,N/A,1.62,0.89,951.70,951.70,5.56,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.82,1.09,,N/A,N/A,1.82,1.09,951.50,951.50,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-02,07-Jun-2016,958.80,959.69,0.89,4.50,954.30,1.50 - 4.50,957.30 - 954.30,N/A,N/A,15:20,2.00,1.11,,N/A,N/A,2.00,1.11,957.69,957.69,6.13,N/M,645751.382,5867764.979
,19-Oct-2016,,,,,,,,,,10:37,1.61,0.72,,N/A,N/A,1.61,0.72,958.08,958.08,N/M,N/M,,
,31-May-2017,,,,,,,,,,11:10,1.64,0.75,,N/A,N/A,1.64,0.75,958.05,958.05,6.15,N/M,,
,18-Oct-2017,,,,,,,,,,14:45,1.88,0.99,,N/A,N/A,1.88,0.99,957.81,957.81,6.14,N/M,,
,16-May-2018,,,,,,,,,,12:30,2.45,1.56,,N/A,N/A,2.45,1.56,957.24,957.24,6.13,N/M,,
,11-Oct-2018,952.45,953.41,0.96,4.50,954.30,1.50 - 4.50,957.30 - 954.30,N/A,N/A,10:30,1.63,0.68,,N/A,N/A,1.63,0.68,951.78,951.78,N/M,N/M,645751.382,5867764.979
,26-Oct-2018,,,,,,,,,,---,3.02,2.07,,N/A,N/A,3.02,2.07,950.39,950.39,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-03,07-Jun-2016,952.61,953.57,0.96,4.50,948.11,1.50 - 4.50,951.11 - 948.11,N/A,N/A,15:15,2.33,1.37,,N/A,N/A,2.33,1.37,951.24,951.24,5.56,N/M,645757.023,5867728.151
,19-Oct-2016,,,,,,,,,,10:43,1.66,0.70,,N/A,N/A,1.66,0.70,951.91,951.91,N/M,N/M,,
,31-May-2017,,,,,,,,,,11:00,1.68,0.72,,N/A,N/A,1.68,0.72,951.89,951.89,5.57,N/M,,
,18-Oct-2017,,,,,,,,,,14:30,1.81,0.85,,N/A,N/A,1.81,0.85,951.76,951.76,5.56,N/M,,
,16-May-2018,,,,,,,,,,12:40,2.92,1.96,,N/A,N/A,2.92,1.96,950.65,950.65,5.56,N/M,,
,11-Oct-2018,,,,,,,,,,10:00,1.59,0.63,,N/A,N/A,1.59,0.63,951.98,951.98,N/M,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.86,0.90,,N/A,N/A,1.86,0.90,951.71,951.71,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-46-3,06-Jun-2016,953.03,953.72,0.69,6.00,947.03,3.00 - 6.00,950.03 - 947.03,N/A,N/A,15:30,3.10,2.41,,N/A,N/A,3.10,2.41,950.62,950.62,6.75,N/M,645619.436,5867930.462
,18-Oct-2016,,,,,,,,,,11:04,1.53,0.84,,N/A,N/A,1.53,0.84,952.19,952.19,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:50,2.43,1.74,,N/A,N/A,2.43,1.74,951.29,951.29,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:25,1.77,1.08,,N/A,N/A,1.77,1.08,951.95,951.95,6.75,N/M,,
,16-May-2018,,,,,,,,,,08:45,2.96,2.27,,N/A,N/A,2.96,2.27,950.76,950.76,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,00:12,1.76,1.07,,N/A,N/A,1.76,1.07,951.96,951.96,6.75,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
TH2,06-Jun-2016,952.54,953.54,1.00,8.05,944.49,7.45 - 8.05,945.09 - 944.49,N/A,N/A,15:45,7.80,6.80,,N/A,N/A,7.80,6.80,945.74,945.74,8.80,N/M,645632.264,5867969.591
,18-Oct-2016,,,,,,,,,,10:50,8.35,7.35,,N/A,N/A,8.35,7.35,945.19,945.19,N/M,N/M,,
,29-May-2017,,,,,,,,,,14:25,8.20,7.20,,N/A,N/A,8.20,7.20,945.34,945.34,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:40,7.90,6.90,,N/A,N/A,7.90,6.90,945.64,945.64,N/M,N/M,,
,16-May-2018,,,,,,,,,,09:00,7.66,6.66,,N/A,N/A,7.66,6.66,945.88,945.88,8.88,N/M,,
,10-Oct-2018,,,,,,,,,,11:48,8.18,7.18,,N/A,N/A,8.18,7.18,945.36,945.36,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-44-3,07-Jun-2016,950.79,951.34,0.55,6.00,944.79,4.50 - 6.00,946.29 - 944.79,N/A,N/A,15:35,4.70,4.15,,N/A,N/A,4.70,4.15,946.64,946.64,6.73,N/M,645895.610,5867660.724
,19-Oct-2016,,,,,,,,,,09:35,1.78,1.23,,N/A,N/A,1.78,1.23,949.56,949.56,N/M,N/M,,
,31-May-2017,,,,,,,,,,09:35,2.21,1.66,,N/A,N/A,2.21,1.66,949.13,949.13,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,09:36,3.27,2.72,,N/A,N/A,3.27,2.72,948.07,948.07,6.71,N/M,,
,14-May-2018,,,,,,,,,,16:30,5.69,5.14,,N/A,N/A,5.69,5.14,945.65,945.65,6.62,N/M,,
,10-Oct-2018,,,,,,,,,,08:55,4.04,3.49,,N/A,N/A,4.04,3.49,947.30,947.30,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-15,08-Jun-2016,941.83,942.32,0.49,9.00,932.83,4.50 - 9.00,937.33 - 932.83,N/A,N/A,12:16,7.92,7.43,,N/A,N/A,7.92,7.43,934.40,934.40,9.64,N/M,645498.858,5867570.390
,18-Oct-2016,,,,,,,,,,14:10,6.61,6.12,,N/A,N/A,6.61,6.12,935.71,935.71,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:45,5.80,5.31,,N/A,N/A,5.80,5.31,936.52,936.52,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:55,6.24,5.75,,N/A,N/A,6.24,5.75,936.08,936.08,N/M,N/M,,
,15-May-2018,,,,,,,,,,10:20,6.63,6.14,,N/A,N/A,6.63,6.14,935.69,935.69,9.66,N/M,,
,09-Oct-2018,,,,,,,,,,14:50,7.43,6.94,,N/A,N/A,7.43,6.94,934.89,934.89,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-17,08-Jun-2016,950.08,950.48,0.40,6.00,944.08,3.00 - 6.00,947.08 - 944.08,N/A,N/A,13:45,4.56,4.16,,N/A,N/A,4.56,4.16,945.92,945.92,6.10,N/M,645625.483,5867569.257
,19-Oct-2016,,,,,,,,,,08:35,2.19,1.79,,N/A,N/A,2.19,1.79,948.29,948.29,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:45,1.43,1.03,,N/A,N/A,1.43,1.03,949.05,949.05,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:20,2.91,2.51,,N/A,N/A,2.91,2.51,947.57,947.57,6.11,N/M,,
,15-May-2018,,,,,,,,,,09:35,4.19,3.79,,N/A,N/A,4.19,3.79,946.29,946.29,6.11,N/M,,
,09-Oct-2018,,,,,,,,,,12:35,4.45,4.05,,N/A,N/A,4.45,4.05,946.03,946.03,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-29,08-Jun-2016,941.49,942.12,0.63,9.00,932.49,6.00 - 9.00,935.49 - 932.49,N/A,N/A,12:27,7.13,6.50,,N/A,N/A,7.13,6.50,934.99,934.99,9.77,N/M,645492.735,5867495.976
,18-Oct-2016,,,,,,,,,,14:30,5.70,5.07,,N/A,N/A,5.70,5.07,936.42,936.42,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:50,4.98,4.35,,N/A,N/A,4.98,4.35,937.14,937.14,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:05,5.46,4.83,,N/A,N/A,5.46,4.83,936.66,936.66,N/M,N/M,,
,15-May-2018,,,,,,,,,,10:40,6.33,5.70,,N/A,N/A,6.33,5.70,935.79,935.79,9.74,N/M,,
,09-Oct-2018,,,,,,,,,,15:12,6.49,5.86,,N/A,N/A,6.49,5.86,935.63,935.63,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-33,08-Jun-2016,953.14,953.82,0.68,6.00,947.14,3.00 - 6.00,950.14 - 947.14,N/A,N/A,13:40,> 6.36,> 5.68,,N/A,N/A,> 6.36,> 5.68,< 947.46,< 947.46,6.36,N/M,645700.019,5867561.016
,18-Oct-2016,,,,,,,,,,15:35,2.96,2.28,,N/A,N/A,2.96,2.28,950.86,950.86,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:40,3.42,2.74,,N/A,N/A,3.42,2.74,950.40,950.40,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:45,4.02,3.34,,N/A,N/A,4.02,3.34,949.80,949.80,N/M,N/M,,
,15-May-2018,,,,,,,,,,09:25,6.32,5.64,,N/A,N/A,6.32,5.64,947.50,947.50,6.36,N/M,,
,09-Oct-2018,,,,,,,,,,16:35,> 6.36,> 5.68,,N/A,N/A,> 6.36,> 5.68,< 947.46,< 947.46,6.36,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
