Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
17-2,18-Oct-2017,950.44,951.11,0.67,6.00,944.44,1.50 - 6.00,948.94 - 944.44,1.30 - 6.00,949.14 - 944.44,10:35,2.58,1.91,,N/A,N/A,2.58,1.91,948.53,948.53,6.73,N/M,645645.000,5867599.670
,15-May-2018,,,,,,,,,,09:15,4.34,3.67,,N/A,N/A,4.34,3.67,946.77,946.77,6.69,N/M,,
,09-Oct-2018,,,,,,,,,,15:00,4.20,3.53,,N/A,N/A,4.20,3.53,946.91,946.91,6.74,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-47-2,06-Jun-2016,952.97,953.47,0.50,14.20,938.77,13.00 - 14.20,939.97 - 938.77,N/A,N/A,14:20,9.92,9.42,,N/A,N/A,9.92,9.42,943.55,943.55,14.98,N/M,645464.338,5867882.073
,18-Oct-2016,,,,,,,,,,12:22,8.22,7.72,,N/A,N/A,8.22,7.72,945.25,945.25,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:33,8.39,7.89,,N/A,N/A,8.39,7.89,945.08,945.08,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:26,8.68,8.18,,N/A,N/A,8.68,8.18,944.79,944.79,14.98,N/M,,
,14-May-2018,,,,,,,,,,14:45,9.79,9.29,,N/A,N/A,9.79,9.29,943.68,943.68,14.99,N/M,,
,10-Oct-2018,,,,,,,,,,09:48,9.84,9.34,,N/A,N/A,9.84,9.34,943.63,943.63,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-12-1,06-Jun-2016,950.70,951.35,0.65,12.00,938.70,9.00 - 12.00,941.70 - 938.70,N/A,N/A,13:30,8.84,8.19,,N/A,N/A,8.84,8.19,942.51,942.51,12.56,N/M,645466.113,5867811.902
,18-Oct-2016,,,,,,,,,,12:14,6.35,5.70,,N/A,N/A,6.35,5.70,945.00,945.00,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:52,6.74,6.09,,N/A,N/A,6.74,6.09,944.61,944.61,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:15,7.00,6.35,,N/A,N/A,7.00,6.35,944.35,944.35,N/M,N/M,,
,14-May-2018,,,,,,,,,,14:30,8.31,7.66,,N/A,N/A,8.31,7.66,943.04,943.04,12.56,N/M,,
,10-Oct-2018,,,,,,,,,,09:44,8.61,7.96,,N/A,N/A,8.61,7.96,942.74,942.74,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-6,07-Jun-2016,951.80,952.06,0.26,12.50,939.30,9.50 - 12.50,942.30 - 939.30,8.30 - 12.50,943.50 - 939.30,11:15,5.21,4.95,,N/A,N/A,5.21,4.95,946.85,946.85,12.71,N/M,645616.647,5867784.120
,18-Oct-2016,,,,,,,,,,11:25,2.87,2.61,,N/A,N/A,2.87,2.61,949.19,949.19,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:10,3.26,3.00,,N/A,N/A,3.26,3.00,948.80,948.80,12.72,N/M,,
,18-Oct-2017,,,,,,,,,,13:35,3.17,2.91,,N/A,N/A,3.17,2.91,948.89,948.89,12.71,N/M,,
,15-May-2018,,,,,,,,,,17:05,5.35,5.09,,N/A,N/A,5.35,5.09,946.71,946.71,12.71,N/M,,
,10-Oct-2018,,,,,,,,,,16:10,4.58,4.32,,N/A,N/A,4.58,4.32,947.48,947.48,12.73,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-21,07-Jun-2016,951.14,951.64,0.50,12.00,939.14,9.00 - 12.00,942.14 - 939.14,N/A,N/A,13:30,5.64,5.14,,N/A,N/A,5.64,5.14,946.00,946.00,12.12,N/M,645607.793,5867740.539
,18-Oct-2016,,,,,,,,,,11:35,3.80,3.30,,N/A,N/A,3.80,3.30,947.84,947.84,N/M,N/M,,
,30-May-2017,,,,,,,,,,14:30,4.06,3.56,,N/A,N/A,4.06,3.56,947.58,947.58,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,12:45,3.91,3.41,,N/A,N/A,3.91,3.41,947.73,947.73,12.23,N/M,,
,15-May-2018,,,,,,,,,,16:30,5.76,5.26,,N/A,N/A,5.76,5.26,945.88,945.88,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:07,5.31,4.81,,N/A,N/A,5.31,4.81,946.33,946.33,12.12,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-42-2,06-Jun-2016,948.94,949.67,0.73,15.60,933.34,14.60 - 15.60,934.34 - 933.34,N/A,N/A,13:10,11.58,10.85,,N/A,N/A,11.58,10.85,938.09,938.09,16.29,N/M,645468.863,5867759.085
,18-Oct-2016,,,,,,,,,,12:01,9.00,8.27,,N/A,N/A,9.00,8.27,940.67,940.67,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:13,8.91,8.18,,N/A,N/A,8.91,8.18,940.76,940.76,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:02,9.67,8.94,,N/A,N/A,9.67,8.94,940.00,940.00,16.30,N/M,,
,14-May-2018,,,,,,,,,,14:22,10.62,9.89,,N/A,N/A,10.62,9.89,939.05,939.05,16.23,N/M,,
,10-Oct-2018,,,,,,,,,,09:35,11.32,10.59,,N/A,N/A,11.32,10.59,938.35,938.35,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-42-3,06-Jun-2016,948.97,949.64,0.67,8.10,940.87,5.10 - 8.10,943.87 - 940.87,N/A,N/A,13:15,7.09,6.42,,N/A,N/A,7.09,6.42,942.55,942.55,8.96,N/M,645468.696,5867761.939
,18-Oct-2016,,,,,,,,,,12:00,3.53,2.86,,N/A,N/A,3.53,2.86,946.11,946.11,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:16,4.07,3.40,,N/A,N/A,4.07,3.40,945.57,945.57,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:05,4.22,3.55,,N/A,N/A,4.22,3.55,945.42,945.42,8.97,N/M,,
,14-May-2018,,,,,,,,,,14:25,4.14,3.47,,N/A,N/A,4.14,3.47,945.50,945.50,8.98,N/M,,
,10-Oct-2018,,,,,,,,,,09:38,5.48,4.81,,N/A,N/A,5.48,4.81,944.16,944.16,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-10-1,07-Jun-2016,949.17,949.73,0.56,18.00,931.17,15.00 - 18.00,934.17 - 931.17,N/A,N/A,14:05,16.36,15.80,,N/A,N/A,16.36,15.80,933.37,933.37,18.86,N/M,645556.795,5867631.505
,18-Oct-2016,,,,,,,,,,13:05,15.02,14.46,,N/A,N/A,15.02,14.46,934.71,934.71,N/M,N/M,,
,30-May-2017,,,,,,,,,,10:35,14.48,13.92,,N/A,N/A,14.48,13.92,935.25,935.25,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:50,14.12,13.56,,N/A,N/A,14.12,13.56,935.61,935.61,N/M,N/M,,
,15-May-2018,,,,,,,,,,14:10,15.54,14.98,,N/A,N/A,15.54,14.98,934.19,934.19,18.87,N/M,,
,09-Oct-2018,,,,,,,,,,17:40,15.93,15.37,,N/A,N/A,15.93,15.37,933.80,933.80,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-10-2,07-Jun-2016,949.07,949.69,0.62,9.00,940.07,6.00 - 9.00,943.07 - 940.07,N/A,N/A,14:00,7.27,6.65,,N/A,N/A,7.27,6.65,942.42,942.42,9.74,N/M,645558.806,5867632.446
,18-Oct-2016,,,,,,,,,,13:50,6.01,5.39,,N/A,N/A,6.01,5.39,943.68,943.68,N/M,N/M,,
,30-May-2017,,,,,,,,,,10:25,4.94,4.32,,N/A,N/A,4.94,4.32,944.75,944.75,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:47,5.44,4.82,,N/A,N/A,5.44,4.82,944.25,944.25,9.74,N/M,,
,15-May-2018,,,,,,,,,,14:15,6.93,6.31,,N/A,N/A,6.93,6.31,942.76,942.76,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,17:45,7.07,6.45,,N/A,N/A,7.07,6.45,942.62,942.62,9.74,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-23-2,06-Jun-2016,941.36,941.98,0.62,6.00,935.36,3.00 - 6.00,938.36 - 935.36,N/A,N/A,12:40,1.92,1.30,,N/A,N/A,1.92,1.30,940.06,940.06,6.42,N/M,645471.456,5867631.737
,18-Oct-2016,,,,,,,,,,11:30,1.30,0.68,,N/A,N/A,1.30,0.68,940.68,940.68,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:05,1.54,0.92,,N/A,N/A,1.54,0.92,940.44,940.44,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,11:48,1.39,0.77,,N/A,N/A,1.39,0.77,940.59,940.59,N/M,N/M,,
,14-May-2018,,,,,,,,,,01:15,1.46,0.84,,N/A,N/A,1.46,0.84,940.52,940.52,6.42,N/M,,
,10-Oct-2018,,,,,,,,,,09:59,1.40,0.78,,N/A,N/A,1.40,0.78,940.58,940.58,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-20,07-Jun-2016,950.65,951.29,0.64,11.00,939.65,8.00 - 11.00,942.65 - 939.65,N/A,N/A,13:50,5.09,4.45,,N/A,N/A,5.09,4.45,946.20,946.20,11.81,N/M,645662.433,5867634.846
,18-Oct-2016,,,,,,,,,,14:50,3.06,2.42,,N/A,N/A,3.06,2.42,948.23,948.23,N/M,N/M,,
,30-May-2017,,,,,,,,,,11:30,2.98,2.34,,N/A,N/A,2.98,2.34,948.31,948.31,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:40,3.17,2.53,,N/A,N/A,3.17,2.53,948.12,948.12,11.80,N/M,,
,15-May-2018,,,,,,,,,,14:55,5.19,4.55,,N/A,N/A,5.19,4.55,946.10,946.10,11.81,N/M,,
,10-Oct-2018,,,,,,,,,,13:35,4.93,4.29,,N/A,N/A,4.93,4.29,946.36,946.36,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-22-1,07-Jun-2016,949.82,950.48,0.66,11.60,938.22,8.60 - 11.60,941.22 - 938.22,N/A,N/A,10:15,6.89,6.23,,N/A,N/A,6.89,6.23,943.59,943.59,12.18,N/M,645567.715,5867710.702
,18-Oct-2016,,,,,,,,,,12:55,4.91,4.25,,N/A,N/A,4.91,4.25,945.57,945.57,N/M,N/M,,
,30-May-2017,,,,,,,,,,13:57,5.04,4.38,,N/A,N/A,5.04,4.38,945.44,945.44,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:16,4.96,4.30,,N/A,N/A,4.96,4.30,945.52,945.52,N/M,N/M,,
,15-May-2018,,,,,,,,,,16:00,6.63,5.97,,N/A,N/A,6.63,5.97,943.85,943.85,12.18,N/M,,
,10-Oct-2018,,,,,,,,,,14:55,6.14,5.48,,N/A,N/A,6.14,5.48,944.34,944.34,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-55,07-Jun-2016,949.96,951.18,1.22,12.00,937.96,9.00 - 12.00,940.96 - 937.96,N/A,N/A,13:18,5.30,4.08,,N/A,N/A,5.30,4.08,945.88,945.88,12.60,N/M,645602.632,5867657.507
,19-Oct-2016,,,,,,,,,,08:50,3.77,2.55,,N/A,N/A,3.77,2.55,947.41,947.41,N/M,N/M,,
,30-May-2017,,,,,,,,,,13:23,3.45,2.23,,N/A,N/A,3.45,2.23,947.73,947.73,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:50,3.66,2.44,,N/A,N/A,3.66,2.44,947.52,947.52,12.57,N/M,,
,15-May-2018,,,,,,,,,,13:35,5.32,4.10,,N/A,N/A,5.32,4.10,945.86,945.86,N/M,N/M,,
,11-Oct-2018,950.03,950.86,0.83,12.00,937.96,9.00 - 12.00,940.96 - 937.96,N/A,N/A,11:23,7.09,6.26,,N/A,N/A,7.09,6.26,943.77,943.77,N/M,N/M,645602.632,5867657.507
,12-Oct-2018,,,,,,,,,,---,6.88,6.05,,N/A,N/A,6.88,6.05,943.98,943.98,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-5-1,07-Jun-2016,952.50,953.23,0.73,13.00,939.50,10.00 - 13.00,942.50 - 939.50,N/A,N/A,09:30,8.39,7.66,,N/A,N/A,8.39,7.66,944.84,944.84,14.21,N/M,645669.422,5867805.151
,18-Oct-2016,,,,,,,,,,10:30,6.96,6.23,,N/A,N/A,6.96,6.23,946.27,946.27,N/M,N/M,,
,30-May-2017,,,,,,,,,,16:00,7.05,6.32,,N/A,N/A,7.05,6.32,946.18,946.18,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:00,7.10,6.37,,N/A,N/A,7.10,6.37,946.13,946.13,14.22,N/M,,
,16-May-2018,,,,,,,,,,08:15,8.640,7.910,8.120,0.520,0.416,8.224,7.494,944.590,945.006,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,12:33,8.260,7.530,7.660,0.600,0.480,7.780,7.050,944.970,945.450,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-7,07-Jun-2016,952.32,952.77,0.45,12.00,940.32,9.00 - 12.00,943.32 - 940.32,N/A,N/A,12:30,6.82,6.37,,N/A,N/A,6.82,6.37,945.95,945.95,12.18,N/M,645697.019,5867738.909
,19-Oct-2016,,,,,,,,,,10:48,5.99,5.54,,N/A,N/A,5.99,5.54,946.78,946.78,N/M,N/M,,
,30-May-2017,,,,,,,,,,17:10,5.09,4.64,,N/A,N/A,5.09,4.64,947.68,947.68,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,14:20,5.11,4.66,,N/A,N/A,5.11,4.66,947.66,947.66,12.18,N/M,,
,16-May-2018,,,,,,,,,,08:05,6.83,6.38,,N/A,N/A,6.83,6.38,945.94,945.94,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:35,6.45,6.00,,N/A,N/A,6.45,6.00,946.32,946.32,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-38-1,07-Jun-2016,953.23,953.88,0.65,14.00,939.23,11.00 - 14.00,942.23 - 939.23,N/A,N/A,08:45,10.87,10.22,,N/A,N/A,10.87,10.22,943.01,943.01,14.68,N/M,645672.309,5867872.523
,18-Oct-2016,,,,,,,,,,10:15,6.64,5.99,,N/A,N/A,6.64,5.99,947.24,947.24,N/M,N/M,,
,31-May-2017,,,,,,,,,,16:30,9.55,8.90,,N/A,N/A,9.55,8.90,944.33,944.33,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:50,9.73,9.08,,N/A,N/A,9.73,9.08,944.15,944.15,N/M,N/M,,
,17-May-2018,,,,,,,,,,09:25,10.42,9.77,,N/A,N/A,10.42,9.77,943.46,943.46,14.65,N/M,,
,12-Oct-2018,,,,,,,,,,10:30,10.11,9.46,,N/A,N/A,10.11,9.46,943.77,943.77,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-4,07-Jun-2016,952.73,953.27,0.54,13.00,939.73,10.00 - 13.00,942.73 - 939.73,N/A,N/A,16:40,9.37,8.83,,N/A,N/A,9.37,8.83,943.90,943.90,14.24,N/M,645755.632,5867807.280
,19-Oct-2016,,,,,,,,,,11:08,7.910,7.370,7.885,0.025,0.020,7.890,7.350,945.360,945.380,N/M,N/M,,
,29-May-2017,,,,,,,,,,11:50,8.02,7.48,,N/A,N/A,8.02,7.48,945.25,945.25,14.26,N/M,,
,01-Jun-2017,,,,,,,,,,13:00,7.927,7.387,7.900,0.027,0.022,7.905,7.365,945.343,945.365,N/M,N/M,,
,31-Aug-2017,,,,,,,,,,---,8.36,7.82,,N/A,N/A,8.36,7.82,944.91,944.91,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:15,8.21,7.67,,N/A,N/A,8.21,7.67,945.06,945.06,14.29,N/M,,
,16-May-2018,,,,,,,,,,11:25,9.17,8.63,,N/A,N/A,9.17,8.63,944.10,944.10,14.26,N/M,,
,11-Oct-2018,,,,,,,,,,09:40,8.980,8.440,8.785,0.195,0.156,8.824,8.284,944.290,944.446,N/M,N/M,,
,26-Oct-2018,,,,,,,,,,---,8.880,8.340,8.855,0.025,0.020,8.860,8.320,944.390,944.410,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-8,07-Jun-2016,951.94,952.53,0.59,12.10,939.84,9.00 - 12.10,942.94 - 939.84,N/A,N/A,14:55,7.90,7.31,,N/A,N/A,7.90,7.31,944.63,944.63,12.93,N/M,645689.879,5867669.729
,19-Oct-2016,,,,,,,,,,09:00,4.84,4.25,,N/A,N/A,4.84,4.25,947.69,947.69,N/M,N/M,,
,31-May-2017,,,,,,,,,,08:50,4.82,4.23,,N/A,N/A,4.82,4.23,947.71,947.71,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:20,5.01,4.42,,N/A,N/A,5.01,4.42,947.52,947.52,12.88,N/M,,
,15-May-2018,,,,,,,,,,15:35,6.85,6.26,,N/A,N/A,6.85,6.26,945.68,945.68,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,14:10,6.57,5.98,,N/A,N/A,6.57,5.98,945.96,945.96,12.92,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-43-2,07-Jun-2016,953.14,953.84,0.70,13.00,940.14,11.50 - 13.00,941.64 - 940.14,N/A,N/A,14:35,9.16,8.46,,N/A,N/A,9.16,8.46,944.68,944.68,13.46,N/M,645813.240,5867677.797
,19-Oct-2016,,,,,,,,,,09:57,7.15,6.45,,N/A,N/A,7.15,6.45,946.69,946.69,N/M,N/M,,
,31-May-2017,,,,,,,,,,09:10,7.08,6.38,,N/A,N/A,7.08,6.38,946.76,946.76,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:55,7.405,6.707,7.400,0.005,0.004,7.401,6.703,946.431,946.435,N/M,N/M,,
,14-May-2018,,,,,,,,,,17:05,9.05,8.35,,N/A,N/A,9.05,8.35,944.79,944.79,13.37,N/M,,
,10-Oct-2018,,,,,,,,,,17:30,8.87,8.17,,N/A,N/A,8.87,8.17,944.97,944.97,13.41,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-1,07-Jun-2016,952.56,953.05,0.49,12.30,940.26,9.30 - 12.30,943.26 - 940.26,N/A,N/A,16:10,9.27,8.78,,N/A,N/A,9.27,8.78,943.78,943.78,12.76,N/M,645849.898,5867737.224
,19-Oct-2016,,,,,,,,,,10:10,7.69,7.20,,N/A,N/A,7.69,7.20,945.36,945.36,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:10,7.77,7.28,,N/A,N/A,7.77,7.28,945.28,945.28,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:40,8.600,8.110,8.501,0.099,0.079,8.521,8.031,944.450,944.529,12.76,N/M,,
,16-May-2018,,,,,,,,,,12:10,9.120,8.630,9.115,0.005,0.004,9.116,8.626,943.930,943.934,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,17:50,8.710,8.220,8.705,0.005,0.004,8.706,8.216,944.340,944.344,12.78,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-3,07-Jun-2016,952.41,952.96,0.55,12.30,940.11,9.20 - 12.30,943.21 - 940.11,N/A,N/A,16:25,9.24,8.69,,N/A,N/A,9.24,8.69,943.72,943.72,11.99,N/M,645818.558,5867804.822
,19-Oct-2016,,,,,,,,,,10:23,7.82,7.27,,N/A,N/A,7.82,7.27,945.14,945.14,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:40,7.87,7.32,,N/A,N/A,7.87,7.32,945.09,945.09,12.01,N/M,,
,18-Oct-2017,,,,,,,,,,15:30,8.16,7.61,,N/A,N/A,8.16,7.61,944.80,944.80,12.02,N/M,,
,16-May-2018,,,,,,,,,,11:05,9.11,8.56,,N/A,N/A,9.11,8.56,943.85,943.85,11.99,N/M,,
,11-Oct-2018,,,,,,,,,,09:26,8.74,8.19,,N/A,N/A,8.74,8.19,944.22,944.22,12.00,N/M,,
,26-Oct-2018,,,,,,,,,,---,8.75,8.20,,N/A,N/A,8.75,8.20,944.21,944.21,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
01-37-1,07-Jun-2016,951.21,951.85,0.64,12.10,939.11,9.10 - 12.10,942.11 - 939.11,N/A,N/A,08:45,8.92,8.28,,N/A,N/A,8.92,8.28,942.93,942.93,13.14,N/M,645810.991,5867874.964
,19-Oct-2016,,,,,,,,,,12:00,7.88,7.24,,N/A,N/A,7.88,7.24,943.97,943.97,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:40,7.93,7.29,,N/A,N/A,7.93,7.29,943.92,943.92,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:42,8.12,7.48,,N/A,N/A,8.12,7.48,943.73,943.73,13.19,N/M,,
,16-May-2018,,,,,,,,,,09:45,8.75,8.11,,N/A,N/A,8.75,8.11,943.10,943.10,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,13:30,8.48,7.84,,N/A,N/A,8.48,7.84,943.37,943.37,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-48,06-Jun-2016,943.07,943.69,0.62,12.00,931.07,11.00 - 12.00,932.07 - 931.07,N/A,N/A,10:10,6.09,5.47,,N/A,N/A,6.09,5.47,937.60,937.60,12.96,N/M,645848.377,5867928.104
,18-Oct-2016,,,,,,,,,,10:15,5.05,4.43,,N/A,N/A,5.05,4.43,938.64,938.64,N/M,N/M,,
,29-May-2017,,,,,,,,,,14:10,4.82,4.20,,N/A,N/A,4.82,4.20,938.87,938.87,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:20,5.10,4.48,,N/A,N/A,5.10,4.48,938.59,938.59,13.03,N/M,,
,16-May-2018,,,,,,,,,,10:05,5.45,4.83,,N/A,N/A,5.45,4.83,938.24,938.24,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,13:10,5.93,5.31,,N/A,N/A,5.93,5.31,937.76,937.76,13.03,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-60,07-Jun-2016,951.96,952.87,0.91,11.20,940.76,8.20 - 11.20,943.76 - 940.76,N/A,N/A,08:15,8.97,8.06,,N/A,N/A,8.97,8.06,943.90,943.90,12.30,N/M,645851.026,5867823.560
,19-Oct-2016,,,,,,,,,,11:35,7.72,6.81,,N/A,N/A,7.72,6.81,945.15,945.15,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:25,7.69,6.78,,N/A,N/A,7.69,6.78,945.18,945.18,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,15:45,8.12,7.21,,N/A,N/A,8.12,7.21,944.75,944.75,12.30,N/M,,
,16-May-2018,,,,,,,,,,10:55,9.13,8.22,,N/A,N/A,9.13,8.22,943.74,943.74,N/M,N/M,,
,11-Oct-2018,,,,,,,,,,09:16,8.24,7.33,,N/A,N/A,8.24,7.33,944.63,944.63,12.31,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-03D,07-Jun-2016,952.58,953.32,0.73,9.00,943.58,6.00 - 9.00,946.58 - 943.58,N/A,N/A,14:50,> 6.08,> 5.35,,N/A,N/A,> 6.08,> 5.35,< 947.24,< 947.24,6.08,N/M,645758.000,5867727.000
,19-Oct-2016,,,,,,,,,,10:40,5.200,4.469,4.980,0.220,0.176,5.024,4.293,948.115,948.291,N/M,N/M,,
,29-May-2017,,,,,,,,,,11:40,4.900,4.169,4.790,0.110,0.088,4.812,4.081,948.415,948.503,10.33,N/M,,
,31-Aug-2017,,,,,,,,,,---,5.20,4.47,,N/A,N/A,5.20,4.47,948.12,948.12,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,14:35,5.50,4.77,,N/A,N/A,5.50,4.77,947.82,947.82,10.35,N/M,,
,16-May-2018,,,,,,,,,,12:40,6.545,5.814,6.505,0.040,0.032,6.513,5.782,946.770,946.802,10.34,N/M,,
,11-Oct-2018,,,,,,,,,,10:10,3.285,2.554,3.215,0.070,0.056,3.229,2.498,950.030,950.086,N/M,N/M,,
