Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,26-Oct-2018,,,,,,,,,,---,6.820,6.089,6.808,0.012,0.010,6.810,6.079,946.495,946.505,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-46-2,06-Jun-2016,953.02,953.70,0.67,14.80,938.22,13.30 - 14.80,939.72 - 938.22,N/A,N/A,15:25,10.92,10.25,,N/A,N/A,10.92,10.25,942.78,942.78,15.56,N/M,645616.062,5867930.462
,18-Oct-2016,,,,,,,,,,11:00,9.97,9.30,,N/A,N/A,9.97,9.30,943.73,943.73,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:52,10.02,9.35,,N/A,N/A,10.02,9.35,943.68,943.68,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:30,10.18,9.51,,N/A,N/A,10.18,9.51,943.52,943.52,N/M,N/M,,
,16-May-2018,,,,,,,,,,08:50,10.59,9.92,,N/A,N/A,10.59,9.92,943.11,943.11,15.57,N/M,,
,10-Oct-2018,,,,,,,,,,11:55,10.52,9.85,,N/A,N/A,10.52,9.85,943.18,943.18,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TH3,06-Jun-2016,942.28,942.82,0.54,4.30,937.98,3.30 - 4.30,938.98 - 937.98,N/A,N/A,10:08,1.68,1.14,,N/A,N/A,1.68,1.14,941.14,941.14,2.54,N/M,645846.340,5867955.399
,18-Oct-2016,,,,,,,,,,10:25,1.07,0.53,,N/A,N/A,1.07,0.53,941.75,941.75,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:00,1.11,0.57,,N/A,N/A,1.11,0.57,941.71,941.71,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:15,1.27,0.73,,N/A,N/A,1.27,0.73,941.55,941.55,N/M,N/M,,
,16-May-2018,,,,,,,,,,10:00,1.21,0.67,,N/A,N/A,1.21,0.67,941.61,941.61,2.64,N/M,,
,09-Oct-2018,,,,,,,,,,13:15,1.92,1.38,,N/A,N/A,1.92,1.38,940.90,940.90,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TH8,06-Jun-2016,943.70,945.00,1.30,1.63,942.07,1.43 - 1.63,942.27 - 942.07,N/A,N/A,16:12,2.68,1.38,,N/A,N/A,2.68,1.38,942.32,942.32,2.84,N/M,645627.226,5868004.822
,18-Oct-2016,,,,,,,,,,09:30,2.22,0.92,,N/A,N/A,2.22,0.92,942.78,942.78,N/M,N/M,,
,29-May-2017,,,,,,,,,,12:35,2.14,0.84,,N/A,N/A,2.14,0.84,942.86,942.86,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:00,2.21,0.91,,N/A,N/A,2.21,0.91,942.79,942.79,N/M,N/M,,
,14-May-2018,,,,,,,,,,13:36,2.28,0.98,,N/A,N/A,2.28,0.98,942.72,942.72,2.90,N/M,,
,09-Oct-2018,,,,,,,,,,12:45,2.25,0.95,,N/A,N/A,2.25,0.95,942.75,942.75,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-44-2,07-Jun-2016,950.79,951.38,0.59,10.00,940.79,8.50 - 10.00,942.29 - 940.79,N/A,N/A,15:30,7.01,6.43,,N/A,N/A,7.01,6.43,944.37,944.37,10.19,N/M,645897.960,5867660.735
,19-Oct-2016,,,,,,,,,,09:37,5.11,4.53,,N/A,N/A,5.11,4.53,946.27,946.27,N/M,N/M,,
,31-May-2017,,,,,,,,,,09:40,5.09,4.51,,N/A,N/A,5.09,4.51,946.29,946.29,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,09:05,5.51,4.93,,N/A,N/A,5.51,4.93,945.87,945.87,10.21,N/M,,
,14-May-2018,,,,,,,,,,16:25,6.93,6.35,,N/A,N/A,6.93,6.35,944.45,944.45,10.14,N/M,,
,10-Oct-2018,,,,,,,,,,09:05,6.72,6.14,,N/A,N/A,6.72,6.14,944.66,944.66,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-45-2,07-Jun-2016,943.18,943.91,0.73,5.40,937.78,2.40 - 5.40,940.78 - 937.78,N/A,N/A,16:55,2.06,1.33,,N/A,N/A,2.06,1.33,941.85,941.85,5.93,N/M,646043.939,5867664.508
,19-Oct-2016,,,,,,,,,,09:52,1.09,0.36,,N/A,N/A,1.09,0.36,942.82,942.82,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:05,1.20,0.47,,N/A,N/A,1.20,0.47,942.71,942.71,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,08:53,1.50,0.77,,N/A,N/A,1.50,0.77,942.41,942.41,N/M,N/M,,
,14-May-2018,,,,,,,,,,16:45,1.67,0.94,,N/A,N/A,1.67,0.94,942.24,942.24,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,08:58,2.05,1.32,,N/A,N/A,2.05,1.32,941.86,941.86,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
02-41-2,06-Jun-2016,940.80,941.70,0.90,4.50,936.30,1.00 - 4.50,939.80 - 936.30,N/A,N/A,14:30,1.61,0.71,,N/A,N/A,1.61,0.71,940.09,940.09,5.05,N/M,645531.708,5868078.322
,20-Oct-2016,,,,,,,,,,09:17,0.97,0.07,,N/A,N/A,0.97,0.07,940.73,940.73,N/M,N/M,,
,29-May-2017,,,,,,,,,,12:33,1.43,0.53,,N/A,N/A,1.43,0.53,940.27,940.27,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:10,1.38,0.48,,N/A,N/A,1.38,0.48,940.32,940.32,N/M,N/M,,
,14-May-2018,,,,,,,,,,12:25,1.48,0.58,,N/A,N/A,1.48,0.58,940.22,940.22,5.12,N/M,,
,09-Oct-2018,,,,,,,,,,12:05,1.45,0.55,,N/A,N/A,1.45,0.55,940.25,940.25,5.12,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-16,08-Jun-2016,947.84,948.05,0.21,8.00,939.84,5.00 - 8.00,942.84 - 939.84,N/A,N/A,12:04,5.65,5.44,,N/A,N/A,5.65,5.44,942.40,942.40,8.28,N/M,645562.765,5867581.984
,18-Oct-2016,,,,,,,,,,13:43,4.27,4.06,,N/A,N/A,4.27,4.06,943.78,943.78,N/M,N/M,,
,29-May-2017,,,,,,,,,,16:35,2.52,2.31,,N/A,N/A,2.52,2.31,945.53,945.53,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:06,3.54,3.33,,N/A,N/A,3.54,3.33,944.51,944.51,8.28,N/M,,
,15-May-2018,,,,,,,,,,10:00,4.84,4.63,,N/A,N/A,4.84,4.63,943.21,943.21,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,12:20,5.24,5.03,,N/A,N/A,5.24,5.03,942.81,942.81,8.28,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-18,08-Jun-2016,948.79,949.37,0.58,8.00,940.79,5.00 - 8.00,943.79 - 940.79,N/A,N/A,12:06,6.28,5.70,,N/A,N/A,6.28,5.70,943.09,943.09,8.65,N/M,645578.414,5867556.733
,19-Oct-2016,,,,,,,,,,08:50,4.98,4.40,,N/A,N/A,4.98,4.40,944.39,944.39,N/M,N/M,,
,29-May-2017,,,,,,,,,,17:10,2.89,2.31,,N/A,N/A,2.89,2.31,946.48,946.48,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:15,4.13,3.55,,N/A,N/A,4.13,3.55,945.24,945.24,8.65,N/M,,
,15-May-2018,,,,,,,,,,09:45,5.55,4.97,,N/A,N/A,5.55,4.97,943.82,943.82,8.65,N/M,,
,09-Oct-2018,,,,,,,,,,14:45,5.86,5.28,,N/A,N/A,5.86,5.28,943.51,943.51,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-24,08-Jun-2016,948.26,948.82,0.56,8.00,940.26,5.00 - 8.00,943.26 - 940.26,N/A,N/A,13:35,4.80,4.24,,N/A,N/A,4.80,4.24,944.02,944.02,8.66,N/M,645602.327,5867454.493
,18-Oct-2016,,,,,,,,,,15:30,3.08,2.52,,N/A,N/A,3.08,2.52,945.74,945.74,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:25,2.34,1.78,,N/A,N/A,2.34,1.78,946.48,946.48,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:11,3.32,2.76,,N/A,N/A,3.32,2.76,945.50,945.50,N/M,N/M,,
,15-May-2018,,,,,,,,,,11:30,4.01,3.45,,N/A,N/A,4.01,3.45,944.81,944.81,8.64,N/M,,
,09-Oct-2018,,,,,,,,,,15:50,5.08,4.52,,N/A,N/A,5.08,4.52,943.74,943.74,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-25,08-Jun-2016,952.37,952.93,0.56,11.00,941.37,8.00 - 11.00,944.37 - 941.37,N/A,N/A,13:28,8.14,7.58,,N/A,N/A,8.14,7.58,944.79,944.79,11.62,N/M,645662.667,5867455.665
,18-Oct-2016,,,,,,,,,,15:33,5.79,5.23,,N/A,N/A,5.79,5.23,947.14,947.14,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:30,5.29,4.73,,N/A,N/A,5.29,4.73,947.64,947.64,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:16,6.09,5.53,,N/A,N/A,6.09,5.53,946.84,946.84,N/M,N/M,,
,15-May-2018,,,,,,,,,,11:35,7.61,7.05,,N/A,N/A,7.61,7.05,945.32,945.32,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,16:05,8.19,7.63,,N/A,N/A,8.19,7.63,944.74,944.74,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-26,08-Jun-2016,944.69,945.28,0.59,7.50,937.19,4.50 - 7.50,940.19 - 937.19,N/A,N/A,12:44,3.10,2.51,,N/A,N/A,3.10,2.51,942.18,942.18,8.34,N/M,645553.462,5867503.603
,18-Oct-2016,,,,,,,,,,14:47,1.91,1.32,,N/A,N/A,1.91,1.32,943.37,943.37,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:22,1.38,0.79,,N/A,N/A,1.38,0.79,943.90,943.90,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:13,2.32,1.73,,N/A,N/A,2.32,1.73,942.96,942.96,8.34,N/M,,
,15-May-2018,,,,,,,,,,11:55,2.44,1.85,,N/A,N/A,2.44,1.85,942.84,942.84,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,16:10,3.46,2.87,,N/A,N/A,3.46,2.87,941.82,941.82,8.34,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-27,08-Jun-2016,949.39,950.13,0.74,8.00,941.39,5.00 - 8.00,944.39 - 941.39,N/A,N/A,13:40,5.56,4.82,,N/A,N/A,5.56,4.82,944.57,944.57,N/M,N/M,645615.964,5867506.206
,18-Oct-2016,,,,,,,,,,15:40,3.78,3.04,,N/A,N/A,3.78,3.04,946.35,946.35,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:35,2.68,1.94,,N/A,N/A,2.68,1.94,947.45,947.45,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:30,3.66,2.92,,N/A,N/A,3.66,2.92,946.47,946.47,N/M,N/M,,
,15-May-2018,,,,,,,,,,12:00,5.02,4.28,,N/A,N/A,5.02,4.28,945.11,945.11,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,16:00,5.65,4.91,,N/A,N/A,5.65,4.91,944.48,944.48,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-30,08-Jun-2016,943.24,943.88,0.64,6.00,937.24,3.00 - 6.00,940.24 - 937.24,N/A,N/A,12:50,2.04,1.40,,N/A,N/A,2.04,1.40,941.84,941.84,6.40,N/M,645544.922,5867456.289
,18-Oct-2016,,,,,,,,,,15:15,1.22,0.58,,N/A,N/A,1.22,0.58,942.66,942.66,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:15,1.31,0.67,,N/A,N/A,1.31,0.67,942.57,942.57,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:00,1.79,1.15,,N/A,N/A,1.79,1.15,942.09,942.09,N/M,N/M,,
,15-May-2018,,,,,,,,,,11:15,1.63,0.99,,N/A,N/A,1.63,0.99,942.25,942.25,6.40,N/M,,
,09-Oct-2018,,,,,,,,,,15:35,2.67,2.03,,N/A,N/A,2.67,2.03,941.21,941.21,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-31,08-Jun-2016,944.67,945.39,0.72,6.00,938.67,3.00 - 6.00,941.67 - 938.67,N/A,N/A,12:48,2.68,1.96,,N/A,N/A,2.68,1.96,942.71,942.71,6.46,N/M,645565.069,5867465.656
,18-Oct-2016,,,,,,,,,,15:08,1.71,0.99,,N/A,N/A,1.71,0.99,943.68,943.68,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:20,1.66,0.94,,N/A,N/A,1.66,0.94,943.73,943.73,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:07,2.21,1.49,,N/A,N/A,2.21,1.49,943.18,943.18,6.46,N/M,,
,15-May-2018,,,,,,,,,,11:25,2.06,1.34,,N/A,N/A,2.06,1.34,943.33,943.33,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,15:45,3.24,2.52,,N/A,N/A,3.24,2.52,942.15,942.15,6.46,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-32,08-Jun-2016,943.68,944.23,0.55,7.50,936.18,4.50 - 7.50,939.18 - 936.18,N/A,N/A,12:37,2.58,2.03,,N/A,N/A,2.58,2.03,941.65,941.65,8.10,N/M,645535.413,5867531.617
,18-Oct-2016,,,,,,,,,,14:40,1.38,0.83,,N/A,N/A,1.38,0.83,942.85,942.85,N/M,N/M,,
,29-May-2017,,,,,,,,,,17:00,0.97,0.42,,N/A,N/A,0.97,0.42,943.26,943.26,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:15,1.79,1.24,,N/A,N/A,1.79,1.24,942.44,942.44,N/M,N/M,,
,15-May-2018,,,,,,,,,,11:45,1.96,1.41,,N/A,N/A,1.96,1.41,942.27,942.27,8.08,N/M,,
,09-Oct-2018,,,,,,,,,,16:25,2.89,2.34,,N/A,N/A,2.89,2.34,941.34,941.34,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
98-34,08-Jun-2016,942.54,943.08,0.54,5.20,937.34,2.20 - 5.20,940.34 - 937.34,N/A,N/A,13:12,1.60,1.06,,N/A,N/A,1.60,1.06,941.48,941.48,5.57,N/M,645538.164,5867382.607
,18-Oct-2016,,,,,,,,,,15:25,1.12,0.58,,N/A,N/A,1.12,0.58,941.96,941.96,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:05,1.16,0.62,,N/A,N/A,1.16,0.62,941.92,941.92,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:30,1.69,1.15,,N/A,N/A,1.69,1.15,941.39,941.39,N/M,N/M,,
,15-May-2018,,,,,,,,,,11:10,1.26,0.72,,N/A,N/A,1.26,0.72,941.82,941.82,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,15:25,2.50,1.96,,N/A,N/A,2.50,1.96,940.58,940.58,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
98-35,08-Jun-2016,942.24,943.03,0.79,6.00,936.24,3.00 - 6.00,939.24 - 936.24,N/A,N/A,13:07,2.13,1.34,,N/A,N/A,2.13,1.34,940.90,940.90,6.60,N/M,645519.588,5867424.011
,18-Oct-2016,,,,,,,,,,15:20,1.71,0.92,,N/A,N/A,1.71,0.92,941.32,941.32,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:10,1.59,0.80,,N/A,N/A,1.59,0.80,941.44,941.44,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:37,2.18,1.39,,N/A,N/A,2.18,1.39,940.85,940.85,N/M,N/M,,
,15-May-2018,,,,,,,,,,10:55,1.74,0.95,,N/A,N/A,1.74,0.95,941.29,941.29,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,15:20,2.84,2.05,,N/A,N/A,2.84,2.05,940.19,940.19,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
98-36,08-Jun-2016,943.88,944.63,0.75,5.50,938.38,2.50 - 5.50,941.38 - 938.38,N/A,N/A,13:04,2.14,1.39,,N/A,N/A,2.14,1.39,942.49,942.49,6.01,N/M,645563.338,5867427.242
,18-Oct-2016,,,,,,,,,,15:21,1.24,0.49,,N/A,N/A,1.24,0.49,943.39,943.39,N/M,N/M,,
,30-May-2017,,,,,,,,,,09:15,1.33,0.58,,N/A,N/A,1.33,0.58,943.30,943.30,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:22,1.78,1.03,,N/A,N/A,1.78,1.03,942.85,942.85,N/M,N/M,,
,15-May-2018,,,,,,,,,,11:05,1.61,0.86,,N/A,N/A,1.61,0.86,943.02,943.02,6.02,N/M,,
,09-Oct-2018,,,,,,,,,,15:35,2.65,1.90,,N/A,N/A,2.65,1.90,941.98,941.98,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-05,08-Jun-2016,940.92,941.79,0.87,8.00,932.92,5.00 - 8.00,935.92 - 932.92,N/A,N/A,12:20,2.40,1.53,,N/A,N/A,2.40,1.53,939.39,939.39,9.11,N/M,645470.854,5867572.661
,18-Oct-2016,,,,,,,,,,14:18,1.42,0.55,,N/A,N/A,1.42,0.55,940.37,940.37,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:35,1.35,0.48,,N/A,N/A,1.35,0.48,940.44,940.44,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:05,2.10,1.23,,N/A,N/A,2.10,1.23,939.69,939.69,9.10,N/M,,
,15-May-2018,,,,,,,,,,10:30,1.68,0.81,,N/A,N/A,1.68,0.81,940.11,940.11,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,14:55,2.41,1.54,,N/A,N/A,2.41,1.54,939.38,939.38,9.10,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
17-1,18-Oct-2017,950.54,951.13,0.59,9.60,940.94,8.10 - 9.60,942.44 - 940.94,7.80 - 10.00,942.74 - 940.54,10:30,3.32,2.73,,N/A,N/A,3.32,2.73,947.81,947.81,10.15,N/M,645644.450,5867597.780
,15-May-2018,,,,,,,,,,09:20,5.11,4.52,,N/A,N/A,5.11,4.52,946.02,946.02,10.17,N/M,,
,09-Oct-2018,,,,,,,,,,15:15,4.89,4.30,,N/A,N/A,4.89,4.30,946.24,946.24,10.15,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-47-1,06-Jun-2016,952.98,953.55,0.57,19.50,933.48,18.50 - 19.50,934.48 - 933.48,N/A,N/A,14:15,14.37,13.80,,N/A,N/A,14.37,13.80,939.18,939.18,19.98,N/M,645464.558,5867886.318
,18-Oct-2016,,,,,,,,,,12:20,12.64,12.07,,N/A,N/A,12.64,12.07,940.91,940.91,N/M,N/M,,
,29-May-2017,,,,,,,,,,14:50,12.45,11.88,,N/A,N/A,12.45,11.88,941.10,941.10,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:24,12.84,12.27,,N/A,N/A,12.84,12.27,940.71,940.71,N/M,N/M,,
,14-May-2018,,,,,,,,,,14:40,13.82,13.25,,N/A,N/A,13.82,13.25,939.73,939.73,19.97,N/M,,
,10-Oct-2018,,,,,,,,,,09:45,14.13,13.56,,N/A,N/A,14.13,13.56,939.42,939.42,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-6,07-Jun-2016,951.76,952.41,0.66,20.00,931.76,18.50 - 20.00,933.26 - 931.76,18.10 - 20.00,933.66 - 931.76,11:20,19.16,18.51,,N/A,N/A,19.16,18.51,933.25,933.25,20.64,N/M,645616.606,5867787.661
,18-Oct-2016,,,,,,,,,,11:10,18.10,17.45,,N/A,N/A,18.10,17.45,934.31,934.31,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:15,17.27,16.62,,N/A,N/A,17.27,16.62,935.14,935.14,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,15:30,17.48,16.83,,N/A,N/A,17.48,16.83,934.93,934.93,20.59,N/M,,
,15-May-2018,,,,,,,,,,17:10,18.32,17.67,,N/A,N/A,18.32,17.67,934.09,934.09,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:55,18.67,18.02,,N/A,N/A,18.67,18.02,933.74,933.74,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-6-1,07-Jun-2016,951.72,953.39,1.68,34.00,917.72,32.50 - 34.00,919.22 - 917.72,32.00 - 34.00,919.72 - 917.72,01:30,12.53,10.85,,N/A,N/A,12.53,10.85,940.86,940.86,34.22,N/M,645617.111,5867789.854
,18-Oct-2016,,,,,,,,,,11:00,26.43,24.75,,N/A,N/A,26.43,24.75,926.96,926.96,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:20,25.77,24.09,,N/A,N/A,25.77,24.09,927.62,927.62,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,13:20,25.40,23.72,,N/A,N/A,25.40,23.72,927.99,927.99,34.71,N/M,,
,15-May-2018,,,,,,,,,,17:15,26.64,24.96,,N/A,N/A,26.64,24.96,926.75,926.75,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:50,26.82,25.14,,N/A,N/A,26.82,25.14,926.57,926.57,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-42-1,06-Jun-2016,948.83,949.51,0.68,29.50,919.33,28.00 - 29.50,920.83 - 919.33,N/A,N/A,13:00,20.16,19.48,,N/A,N/A,20.16,19.48,929.35,929.35,30.33,N/M,645469.024,5867755.857
,18-Oct-2016,,,,,,,,,,12:02,19.00,18.32,,N/A,N/A,19.00,18.32,930.51,930.51,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:10,18.49,17.81,,N/A,N/A,18.49,17.81,931.02,931.02,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:00,18.75,18.07,,N/A,N/A,18.75,18.07,930.76,930.76,N/M,N/M,,
,14-May-2018,,,,,,,,,,14:20,19.40,18.72,,N/A,N/A,19.40,18.72,930.11,930.11,30.25,N/M,,
,10-Oct-2018,,,,,,,,,,09:30,19.66,18.98,,N/A,N/A,19.66,18.98,929.85,929.85,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-11-1,07-Jun-2016,947.55,948.07,0.52,23.00,924.55,17.00 - 23.00,930.55 - 924.55,N/A,N/A,12:30,14.61,14.09,,N/A,N/A,14.61,14.09,933.46,933.46,22.36,N/M,645508.899,5867693.107
,18-Oct-2016,,,,,,,,,,13:40,13.31,12.79,,N/A,N/A,13.31,12.79,934.76,934.76,N/M,N/M,,
,30-May-2017,,,,,,,,,,14:15,12.65,12.13,,N/A,N/A,12.65,12.13,935.42,935.42,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:10,12.81,12.29,,N/A,N/A,12.81,12.29,935.26,935.26,N/M,N/M,,
,14-May-2018,,,,,,,,,,14:10,13.78,13.26,,N/A,N/A,13.78,13.26,934.29,934.29,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,09:30,14.13,13.61,,N/A,N/A,14.13,13.61,933.94,933.94,22.33,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-10,07-Jun-2016,949.16,949.81,0.64,29.50,919.66,28.00 - 29.50,921.16 - 919.66,N/A,N/A,12:00,19.48,18.84,,N/A,N/A,19.48,18.84,930.33,930.33,30.41,N/M,645553.921,5867643.033
,18-Oct-2016,,,,,,,,,,14:00,18.40,17.76,,N/A,N/A,18.40,17.76,931.41,931.41,N/M,N/M,,
,30-May-2017,,,,,,,,,,11:00,17.84,17.20,,N/A,N/A,17.84,17.20,931.97,931.97,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:43,17.96,17.32,,N/A,N/A,17.96,17.32,931.85,931.85,N/M,N/M,,
,15-May-2018,,,,,,,,,,13:45,18.70,18.06,,N/A,N/A,18.70,18.06,931.11,931.11,N/M,N/M,,
