Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,09-Oct-2018,,,,,,,,,,17:50,18.96,18.32,,N/A,N/A,18.96,18.32,930.85,930.85,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
13-04,06-Jun-2016,940.98,941.81,0.84,18.00,922.98,15.00 - 18.00,925.98 - 922.98,N/A,N/A,12:45,12.75,11.91,,N/A,N/A,12.75,11.91,929.06,929.06,19.16,N/M,645470.693,5867626.456
,18-Oct-2016,,,,,,,,,,11:35,11.65,10.81,,N/A,N/A,11.65,10.81,930.16,930.16,N/M,N/M,,
,29-May-2017,,,,,,,,,,15:00,11.06,10.22,,N/A,N/A,11.06,10.22,930.75,930.75,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,11:50,11.24,10.40,,N/A,N/A,11.24,10.40,930.57,930.57,19.10,N/M,,
,14-May-2018,,,,,,,,,,01:30,12.00,11.16,,N/A,N/A,12.00,11.16,929.81,929.81,19.08,N/M,,
,10-Oct-2018,,,,,,,,,,10:06,12.17,11.33,,N/A,N/A,12.17,11.33,929.64,929.64,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96-13-1,06-Jun-2016,951.29,951.73,0.44,22.00,929.29,19.00 - 22.00,932.29 - 929.29,N/A,N/A,16:20,18.33,17.89,,N/A,N/A,18.33,17.89,933.40,933.40,23.89,N/M,645726.661,5867929.738
,18-Oct-2016,,,,,,,,,,10:38,17.25,16.81,,N/A,N/A,17.25,16.81,934.48,934.48,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:25,16.58,16.14,,N/A,N/A,16.58,16.14,935.15,935.15,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:15,16.68,16.24,,N/A,N/A,16.68,16.24,935.05,935.05,N/M,N/M,,
,16-May-2018,,,,,,,,,,10:35,17.58,17.14,,N/A,N/A,17.58,17.14,934.15,934.15,23.90,N/M,,
,10-Oct-2018,,,,,,,,,,11:00,17.90,17.46,,N/A,N/A,17.90,17.46,933.83,933.83,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-4,07-Jun-2016,952.70,953.34,0.64,20.00,932.70,18.50 - 20.00,934.20 - 932.70,N/A,N/A,15:20,18.51,17.88,,N/A,N/A,18.51,17.88,934.83,934.83,20.53,N/M,645757.302,5867804.567
,19-Oct-2016,,,,,,,,,,11:10,18.01,17.38,,N/A,N/A,18.01,17.38,935.33,935.33,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:55,17.55,16.92,,N/A,N/A,17.55,16.92,935.79,935.79,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:05,18.64,18.01,,N/A,N/A,18.64,18.01,934.70,934.70,20.57,N/M,,
,16-May-2018,,,,,,,,,,11:15,18.36,17.73,,N/A,N/A,18.36,17.73,934.98,934.98,N/M,N/M,,
,11-Oct-2018,,,,,,,,,,09:35,18.50,17.87,,N/A,N/A,18.50,17.87,934.84,934.84,20.57,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-13,06-Jun-2016,951.19,951.91,0.72,15.00,936.19,14.00 - 15.00,937.19 - 936.19,N/A,N/A,16:00,13.73,13.01,,N/A,N/A,13.73,13.01,938.18,938.18,16.03,N/M,645734.351,5867929.738
,18-Oct-2016,,,,,,,,,,10:35,12.90,12.18,,N/A,N/A,12.90,12.18,939.01,939.01,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:15,12.81,12.09,,N/A,N/A,12.81,12.09,939.10,939.10,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:15,12.83,12.11,,N/A,N/A,12.83,12.11,939.08,939.08,16.05,N/M,,
,16-May-2018,,,,,,,,,,10:25,13.42,12.70,,N/A,N/A,13.42,12.70,938.49,938.49,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,10:53,13.59,12.87,,N/A,N/A,13.59,12.87,938.32,938.32,16.04,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-43-1,07-Jun-2016,952.97,953.65,0.68,28.80,924.17,22.30 - 28.80,930.67 - 924.17,N/A,N/A,14:30,20.37,19.69,,N/A,N/A,20.37,19.69,933.28,933.28,24.10,N/M,645816.089,5867677.797
,19-Oct-2016,,,,,,,,,,09:55,19.30,18.62,,N/A,N/A,19.30,18.62,934.35,934.35,N/M,N/M,,
,31-May-2017,,,,,,,,,,09:05,18.49,17.81,,N/A,N/A,18.49,17.81,935.16,935.16,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:52,18.69,18.01,,N/A,N/A,18.69,18.01,934.96,934.96,24.36,N/M,,
,14-May-2018,,,,,,,,,,17:00,19.56,18.88,,N/A,N/A,19.56,18.88,934.09,934.09,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,17:25,19.91,19.23,,N/A,N/A,19.91,19.23,933.74,933.74,24.08,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-1,07-Jun-2016,952.50,953.18,0.68,19.80,932.70,18.30 - 19.80,934.20 - 932.70,N/A,N/A,15:00,16.15,15.47,,N/A,N/A,16.15,15.47,937.03,937.03,21.60,N/M,645849.998,5867734.271
,19-Oct-2016,,,,,,,,,,10:08,15.72,15.04,,N/A,N/A,15.72,15.04,937.46,937.46,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:10,15.08,14.40,,N/A,N/A,15.08,14.40,938.10,938.10,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:45,14.87,14.19,,N/A,N/A,14.87,14.19,938.31,938.31,N/M,N/M,,
,16-May-2018,,,,,,,,,,12:10,15.22,14.54,,N/A,N/A,15.22,14.54,937.96,937.96,20.49,N/M,,
,10-Oct-2018,,,,,,,,,,17:40,15.50,14.82,,N/A,N/A,15.50,14.82,937.68,937.68,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-1-1,07-Jun-2016,952.44,953.14,0.70,34.00,918.44,33.00 - 34.00,919.44 - 918.44,N/A,N/A,15:10,25.27,24.57,,N/A,N/A,25.27,24.57,927.87,927.87,N/M,N/M,645850.293,5867732.309
,19-Oct-2016,,,,,,,,,,10:05,24.41,23.71,,N/A,N/A,24.41,23.71,928.73,928.73,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:15,23.86,23.16,,N/A,N/A,23.86,23.16,929.28,929.28,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,16:50,23.86,23.16,,N/A,N/A,23.86,23.16,929.28,929.28,N/M,N/M,,
,16-May-2018,,,,,,,,,,12:05,24.51,23.81,,N/A,N/A,24.51,23.81,928.63,928.63,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,17:35,24.72,24.02,,N/A,N/A,24.72,24.02,928.42,928.42,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-59,07-Jun-2016,951.96,952.87,0.91,22.00,929.96,20.50 - 22.00,931.46 - 929.96,N/A,N/A,08:20,17.19,16.28,,N/A,N/A,17.19,16.28,935.68,935.68,22.93,N/M,645850.426,5867824.793
,19-Oct-2016,,,,,,,,,,11:30,16.00,15.09,,N/A,N/A,16.00,15.09,936.87,936.87,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:20,15.63,14.72,,N/A,N/A,15.63,14.72,937.24,937.24,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,15:40,15.91,15.00,,N/A,N/A,15.91,15.00,936.96,936.96,N/M,N/M,,
,16-May-2018,,,,,,,,,,10:50,16.54,15.63,,N/A,N/A,16.54,15.63,936.33,936.33,N/M,N/M,,
,11-Oct-2018,,,,,,,,,,09:17,16.86,15.95,,N/A,N/A,16.86,15.95,936.01,936.01,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-46-1,06-Jun-2016,953.01,953.73,0.72,22.00,931.01,20.50 - 22.00,932.51 - 931.01,N/A,N/A,15:20,20.49,19.77,,N/A,N/A,20.49,19.77,933.24,933.24,22.13,N/M,645612.782,5867930.462
,18-Oct-2016,,,,,,,,,,11:02,19.27,18.55,,N/A,N/A,19.27,18.55,934.46,934.46,N/M,N/M,,
,29-May-2017,,,,,,,,,,13:55,18.64,17.92,,N/A,N/A,18.64,17.92,935.09,935.09,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,17:35,18.76,18.04,,N/A,N/A,18.76,18.04,934.97,934.97,22.70,N/M,,
,16-May-2018,,,,,,,,,,08:40,19.62,18.90,,N/A,N/A,19.62,18.90,934.11,934.11,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,12:02,19.99,19.27,,N/A,N/A,19.99,19.27,933.74,933.74,22.71,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-44-1,07-Jun-2016,950.82,951.42,0.60,19.50,931.32,18.50 - 19.50,932.32 - 931.32,N/A,N/A,13:20,15.93,15.33,,N/A,N/A,15.93,15.33,935.49,935.49,20.51,N/M,645899.898,5867660.724
,19-Oct-2016,,,,,,,,,,09:38,14.81,14.21,,N/A,N/A,14.81,14.21,936.61,936.61,N/M,N/M,,
,31-May-2017,,,,,,,,,,09:50,14.32,13.72,,N/A,N/A,14.32,13.72,937.10,937.10,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,09:10,14.65,14.05,,N/A,N/A,14.65,14.05,936.77,936.77,N/M,N/M,,
,14-May-2018,,,,,,,,,,16:20,15.26,14.66,,N/A,N/A,15.26,14.66,936.16,936.16,20.28,N/M,,
,10-Oct-2018,,,,,,,,,,09:07,15.66,15.06,,N/A,N/A,15.66,15.06,935.76,935.76,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
04-45-1,07-Jun-2016,943.13,943.62,0.50,15.00,928.13,13.50 - 15.00,929.63 - 928.13,N/A,N/A,16:50,6.15,5.65,,N/A,N/A,6.15,5.65,937.47,937.47,15.72,N/M,646045.704,5867664.508
,19-Oct-2016,,,,,,,,,,09:50,4.96,4.46,,N/A,N/A,4.96,4.46,938.66,938.66,N/M,N/M,,
,31-May-2017,,,,,,,,,,10:00,4.71,4.21,,N/A,N/A,4.71,4.21,938.91,938.91,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,08:52,5.03,4.53,,N/A,N/A,5.03,4.53,938.59,938.59,N/M,N/M,,
,14-May-2018,,,,,,,,,,16:40,5.54,5.04,,N/A,N/A,5.54,5.04,938.08,938.08,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,09:00,5.96,5.46,,N/A,N/A,5.96,5.46,937.66,937.66,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
02-40,06-Jun-2016,940.60,941.40,0.80,10.50,930.10,8.90 - 10.50,931.70 - 930.10,N/A,N/A,09:35,7.00,6.20,,N/A,N/A,7.00,6.20,934.40,934.40,10.70,N/M,645664.808,5868075.522
,20-Oct-2016,,,,,,,,,,09:25,6.53,5.73,,N/A,N/A,6.53,5.73,934.87,934.87,N/M,N/M,,
,29-May-2017,,,,,,,,,,12:50,5.61,4.81,,N/A,N/A,5.61,4.81,935.79,935.79,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:00,5.62,4.82,,N/A,N/A,5.62,4.82,935.78,935.78,N/M,N/M,,
,14-May-2018,,,,,,,,,,12:10,6.63,5.83,,N/A,N/A,6.63,5.83,934.77,934.77,10.77,N/M,,
,09-Oct-2018,,,,,,,,,,12:55,6.50,5.70,,N/A,N/A,6.50,5.70,934.90,934.90,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
02-41-1,06-Jun-2016,940.80,941.60,0.80,12.00,928.80,10.50 - 12.00,930.30 - 928.80,N/A,N/A,14:25,8.31,7.51,,N/A,N/A,8.31,7.51,933.29,933.29,12.37,N/M,645531.508,5868079.322
,20-Oct-2016,,,,,,,,,,09:15,7.44,6.64,,N/A,N/A,7.44,6.64,934.16,934.16,N/M,N/M,,
,29-May-2017,,,,,,,,,,12:30,6.63,5.83,,N/A,N/A,6.63,5.83,934.97,934.97,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:05,5.58,4.78,,N/A,N/A,5.58,4.78,936.02,936.02,N/M,N/M,,
,14-May-2018,,,,,,,,,,12:30,5.55,4.75,,N/A,N/A,5.55,4.75,936.05,936.05,5.59,N/M,,
,09-Oct-2018,,,,,,,,,,12:00,1.51,0.71,,N/A,N/A,1.51,0.71,940.09,940.09,5.62,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-14-1,08-Jun-2016,940.86,941.47,0.61,10.60,930.26,9.10 - 10.60,931.76 - 930.26,N/A,N/A,12:18,8.00,7.39,,N/A,N/A,8.00,7.39,933.47,933.47,11.20,N/M,645462.899,5867566.901
,18-Oct-2016,,,,,,,,,,14:15,6.72,6.11,,N/A,N/A,6.72,6.11,934.75,934.75,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:30,6.02,5.41,,N/A,N/A,6.02,5.41,935.45,935.45,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:55,6.34,5.73,,N/A,N/A,6.34,5.73,935.13,935.13,N/M,N/M,,
,15-May-2018,,,,,,,,,,10:35,7.14,6.53,,N/A,N/A,7.14,6.53,934.33,934.33,11.22,N/M,,
,09-Oct-2018,,,,,,,,,,15:05,7.48,6.87,,N/A,N/A,7.48,6.87,933.99,933.99,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
97-28,08-Jun-2016,941.42,942.05,0.63,13.00,928.42,10.00 - 13.00,931.42 - 928.42,N/A,N/A,13:32,8.50,7.87,,N/A,N/A,8.50,7.87,933.55,933.55,13.72,N/M,645487.676,5867446.384
,18-Oct-2016,,,,,,,,,,14:45,7.78,7.15,,N/A,N/A,7.78,7.15,934.27,934.27,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:55,6.49,5.86,,N/A,N/A,6.49,5.86,935.56,935.56,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:42,6.81,6.18,,N/A,N/A,6.81,6.18,935.24,935.24,N/M,N/M,,
,15-May-2018,,,,,,,,,,10:50,7.64,7.01,,N/A,N/A,7.64,7.01,934.41,934.41,13.73,N/M,,
,09-Oct-2018,,,,,,,,,,15:16,7.95,7.32,,N/A,N/A,7.95,7.32,934.10,934.10,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
98-16,08-Jun-2016,947.73,948.26,0.53,17.00,930.73,14.00 - 17.00,933.73 - 930.73,N/A,N/A,12:00,14.86,14.33,,N/A,N/A,14.86,14.33,933.40,933.40,17.91,N/M,645562.150,5867587.833
,18-Oct-2016,,,,,,,,,,13:40,13.71,13.18,,N/A,N/A,13.71,13.18,934.55,934.55,N/M,N/M,,
,29-May-2017,,,,,,,,,,16:30,13.02,12.49,,N/A,N/A,13.02,12.49,935.24,935.24,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,10:04,13.23,12.70,,N/A,N/A,13.23,12.70,935.03,935.03,18.24,N/M,,
,15-May-2018,,,,,,,,,,09:55,14.05,13.52,,N/A,N/A,14.05,13.52,934.21,934.21,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,14:15,14.44,13.91,,N/A,N/A,14.44,13.91,933.82,933.82,17.91,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
98-26,08-Jun-2016,945.01,945.54,0.53,15.00,930.01,12.00 - 15.00,933.01 - 930.01,N/A,N/A,12:42,12.01,11.48,,N/A,N/A,12.01,11.48,933.53,933.53,16.03,N/M,645557.740,5867509.579
,18-Oct-2016,,,,,,,,,,14:45,10.89,10.36,,N/A,N/A,10.89,10.36,934.65,934.65,N/M,N/M,,
,30-May-2017,,,,,,,,,,08:21,10.17,9.64,,N/A,N/A,10.17,9.64,935.37,935.37,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,11:16,10.43,9.90,,N/A,N/A,10.43,9.90,935.11,935.11,16.03,N/M,,
,15-May-2018,,,,,,,,,,11:50,11.25,10.72,,N/A,N/A,11.25,10.72,934.29,934.29,N/M,N/M,,
,09-Oct-2018,,,,,,,,,,16:15,11.62,11.09,,N/A,N/A,11.62,11.09,933.92,933.92,16.04,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
02-39,06-Jun-2016,938.60,939.40,0.80,10.40,928.20,7.40 - 10.40,931.20 - 928.20,N/A,N/A,13:10,8.14,7.34,,N/A,N/A,8.14,7.34,931.26,931.26,11.35,N/M,645209.264,5867914.522
,20-Oct-2016,,,,,,,,,,08:50,7.02,6.22,,N/A,N/A,7.02,6.22,932.38,932.38,N/M,N/M,,
,29-May-2017,,,,,,,,,,16:52,5.10,4.30,,N/A,N/A,5.10,4.30,934.30,934.30,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,12:45,6.30,5.50,,N/A,N/A,6.30,5.50,933.10,933.10,N/M,N/M,,
,14-May-2018,,,,,,,,,,12:55,7.16,6.36,,N/A,N/A,7.16,6.36,932.24,932.24,11.44,N/M,,
,09-Oct-2018,,,,,,,,,,---,N/M,N/M,,N/A,N/A,N/A,N/A,N/A,N/A,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12 IW-01,31-May-2017,952.71,953.55,0.84,4.30,948.41,1.30 - 4.30,951.41 - 948.41,N/A,N/A,11:20,1.54,0.70,,N/A,N/A,1.54,0.70,952.01,952.01,5.30,N/M,645773.595,5867758.101
,18-Oct-2017,,,,,,,,,,15:15,1.75,0.91,,N/A,N/A,1.75,0.91,951.80,951.80,5.27,N/M,,
,16-May-2018,,,,,,,,,,11:40,2.51,1.67,,N/A,N/A,2.51,1.67,951.04,951.04,5.28,N/M,,
,11-Oct-2018,,,,,,,,,,09:43,1.44,0.60,,N/A,N/A,1.44,0.60,952.11,952.11,5.28,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.63,0.79,,N/A,N/A,1.63,0.79,951.92,951.92,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
12 IW-02,31-May-2017,952.68,953.53,0.85,4.40,948.28,1.10 - 4.40,951.58 - 948.28,N/A,N/A,11:25,2.21,1.36,,N/A,N/A,2.21,1.36,951.32,951.32,5.48,N/M,645777.118,5867758.662
,18-Oct-2017,,,,,,,,,,15:00,1.79,0.94,,N/A,N/A,1.79,0.94,951.74,951.74,5.46,N/M,,
,16-May-2018,,,,,,,,,,11:45,2.63,1.78,,N/A,N/A,2.63,1.78,950.90,950.90,5.45,N/M,,
,11-Oct-2018,,,,,,,,,,09:48,1.54,0.69,,N/A,N/A,1.54,0.69,951.99,951.99,5.45,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.66,0.81,,N/A,N/A,1.66,0.81,951.87,951.87,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
12 IW-03,31-May-2017,952.74,953.71,0.97,4.30,948.44,1.10 - 4.30,951.64 - 948.44,N/A,N/A,11:30,1.99,1.02,,N/A,N/A,1.99,1.02,951.72,951.72,5.22,N/M,645773.949,5867754.293
,18-Oct-2017,,,,,,,,,,15:05,2.72,1.75,,N/A,N/A,2.72,1.75,950.99,950.99,5.20,N/M,,
,16-May-2018,,,,,,,,,,11:45,2.76,1.79,,N/A,N/A,2.76,1.79,950.95,950.95,5.20,N/M,,
,11-Oct-2018,,,,,,,,,,10:00,1.69,0.72,,N/A,N/A,1.69,0.72,952.02,952.02,5.21,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.75,0.78,,N/A,N/A,1.75,0.78,951.96,951.96,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
12 IW-04,31-May-2017,952.68,953.56,0.88,4.30,948.38,1.10 - 4.30,951.58 - 948.38,N/A,N/A,11:35,1.77,0.89,,N/A,N/A,1.77,0.89,951.79,951.79,4.00,N/M,645777.856,5867754.980
,18-Oct-2017,,,,,,,,,,15:10,1.82,0.94,,N/A,N/A,1.82,0.94,951.74,951.74,3.97,N/M,,
,16-May-2018,,,,,,,,,,11:50,2.69,1.81,,N/A,N/A,2.69,1.81,950.87,950.87,4.00,N/M,,
,11-Oct-2018,,,,,,,,,,09:53,1.58,0.70,,N/A,N/A,1.58,0.70,951.98,951.98,4.01,N/M,,
,26-Oct-2018,,,,,,,,,,---,1.70,0.82,,N/A,N/A,1.70,0.82,951.86,951.86,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
18-68,12-Oct-2018,950.00,950.77,0.77,5.20,944.80,0.92 - 5.20,949.08 - 944.80,0.76 - 5.20,949.24 - 944.80,---,2.65,1.88,,N/A,N/A,2.65,1.88,948.12,948.12,N/M,N/M,645614.000,5867663.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-69,12-Oct-2018,949.90,950.69,0.79,5.20,944.70,0.92 - 5.20,948.98 - 944.70,0.76 - 5.20,949.14 - 944.70,---,3.19,2.40,,N/A,N/A,3.19,2.40,947.50,947.50,N/M,N/M,645609.000,5867663.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-70,12-Oct-2018,949.92,950.85,0.93,12.81,937.11,7.63 - 12.81,942.29 - 937.11,7.32 - 12.81,942.60 - 937.11,---,6.85,5.92,,N/A,N/A,6.85,5.92,944.00,944.00,N/M,N/M,645610.000,5867663.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-71,12-Oct-2018,950.09,950.69,0.61,13.12,936.97,7.63 - 13.12,942.46 - 936.97,7.17 - 13.12,942.92 - 936.97,---,5.65,5.05,,N/A,N/A,5.65,5.05,945.04,945.04,N/M,N/M,645616.000,5867663.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-72,26-Oct-2018,952.51,953.28,0.77,5.20,947.31,0.92 - 5.20,951.59 - 947.31,0.76 - 5.20,951.75 - 947.31,---,1.43,0.66,,N/A,N/A,1.43,0.66,951.85,951.85,N/M,N/M,645781.000,5867758.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-73,26-Oct-2018,952.60,953.32,0.72,14.34,938.26,7.63 - 14.34,944.97 - 938.26,7.32 - 14.34,945.28 - 938.26,---,8.19,7.47,,N/A,N/A,8.19,7.47,945.13,945.13,N/M,N/M,645760.000,5867722.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-74,26-Oct-2018,952.56,952.36,-0.20,15.40,937.16,7.63 - 13.73,944.93 - 938.83,7.32 - 15.40,945.24 - 937.16,---,7.23,7.43,,N/A,N/A,7.23,7.43,945.13,945.13,N/M,N/M,645761.000,5867716.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-RW7,11-Oct-2018,949.88,950.71,0.83,6.25,943.63,0.92 - 6.10,948.96 - 943.78,0.76 - 6.25,949.12 - 943.63,---,2.83,2.00,,N/A,N/A,2.83,2.00,947.88,947.88,N/M,N/M,645604.000,5867663.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-RW8,12-Oct-2018,949.91,950.66,0.75,13.12,936.79,7.63 - 13.12,942.28 - 936.79,7.32 - 13.12,942.59 - 936.79,---,7.57,6.82,,N/A,N/A,7.57,6.82,943.09,943.09,N/M,N/M,645606.000,5867663.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-RW9,07-Nov-2018,952.47,953.29,0.82,5.20,947.27,0.92 - 5.20,951.55 - 947.27,0.76 - 5.20,951.71 - 947.27,---,1.95,1.14,,N/A,N/A,1.95,1.14,951.34,951.34,N/M,N/M,645772.000,5867759.000
,,,,,,,,,,,,,,,,,,,,,,,,
18-RW10,26-Oct-2018,952.55,953.26,0.71,13.12,939.43,7.63 - 13.12,944.92 - 939.43,7.32 - 13.12,945.23 - 939.43,---,8.180,7.470,8.135,0.045,0.036,8.144,7.434,945.080,945.116,N/M,N/M,645760.000,5867726.000
,,,,,,,,,,,,,,,,,,,,,,,,