Well name,Group Answer,Date,Corrected Groundwater Surface Elevation(masl),Easting(m),Northing(m),Screen Top(masl),Screen Bot(masl)
43629,Shallow,16-Jun,946.19,645463.505,5867925.859,948.7,945.7
TH7,Shallow,16-Jun,946.85,645461.893,5867883.754,946.21,945.36
35217,Shallow,16-Jun,948.82,645617.05,5867782.746,948.8,945.8
35401,Shallow,16-Jun,947.27,645466.248,5867809.039,947.82,944.82
97-21,Shallow,16-Jun,947.19,645608.63,5867740.071,947.14,943.14
06-62,Shallow,16-Jun,948.62,645576.383,5867793.074,949.44,946.44
06-63,Shallow,16-Jun,948.62,645638.926,5867751.212,949.66,946.66
10-67,Shallow,16-Jun,946.71,645586.902,5867741.947,945.83,942.83
PIEZO B,Shallow,16-Jun,949.92,645635.285,5867806.955,952.15,948.55
TH12,Shallow,16-Jun,949.01,645636.573,5867775.128,947.86,947.16
35309,Shallow,16-Jun,948.074,645621.368,5867630.473,947.03,944.03
35371,Shallow,16-Jun,945.65,645510.069,5867690.97,941.56,935.56
97-20,Shallow,16-Jun,948.04,645660.727,5867634.825,947.65,944.65
01-22-2,Shallow,16-Jun,947.84,645569.437,5867711.15,945.32,942.32
05-49,Shallow,16-Jun,947.77,645643.556,5867644.957,945.46,944.46
05-50,Shallow,16-Jun,949.15,645642.944,5867645.78,949,946
05-51,Shallow,16-Jun,947.91,645603.621,5867641.675,944.9,943.9
05-52,Shallow,16-Jun,948.93,645602.803,5867642.593,948.5,945.5
05-53,Shallow,16-Jun,943.77,645573.48,5867638.767,945.12,942.12
05-54,Shallow,16-Jun,947.86,645602.462,5867660.6,944.95,943.95
05-56,Shallow,16-Jun,947.514,645602.632,5867657.507,949.06,946.06
05-57,Shallow,16-Jun,948.81,645633.806,5867660.485,948.76,945.76
05-58,Shallow,16-Jun,949.21,645659.277,5867664.637,949.39,946.39
06-64,Shallow,16-Jun,948.49,645638.05,5867716.983,949.21,946.21
06-65,Shallow,16-Jun,949.08,645670.677,5867687.532,949.56,946.56
06-66,Shallow,16-Jun,947.847,645608.668,5867683.672,947.89,944.89
35156,Shallow,16-Jun,950.93,645754.812,5867809.177,950.73,947.73
35187,Shallow,16-Jun,950.66,645680.193,5867809.622,950.52,947.52
35247,Shallow,16-Jun,950.51,645694.788,5867739.492,950.34,947.34
96-13-2,Shallow,16-Jun,944.17,645730.868,5867929.738,949.19,946.19
01-38-2,Shallow,16-Jun,949.3,645671.935,5867876.935,948.23,945.23
35278,Shallow,16-Jun,950.01,645698.17,5867670.803,950.54,947.54
97-19,Shallow,16-Jun,950.07,645683.006,5867639.95,949.03,946.03
35065,Shallow,16-Jun,946.94,645849.626,5867739.616,949.06,946.06
35125,Shallow,16-Jun,949.46,645818.705,5867807.413,948.51,945.41
01-37-2,Shallow,16-Jun,947.28,645805.773,5867874.962,947.76,944.21
06-61,Shallow,16-Jun,948.19,645851.026,5867822.418,949.17,946.17
43800,Shallow,16-Jun,951.48,645775.317,5867756.638,951.39,948.39
43478,Shallow,16-Jun,951.2,645805.438,5867759.995,951.08,948.08
43509,Shallow,16-Jun,957.69,645751.382,5867764.979,957.3,954.3
43537,Shallow,16-Jun,951.24,645757.023,5867728.151,951.11,948.11
04-46-3,Shallow,16-Jun,950.62,645619.436,5867930.462,950.03,947.03
TH2,Shallow,16-Jun,945.74,645632.264,5867969.591,945.09,944.49
04-44-3,Shallow,16-Jun,946.64,645895.61,5867660.724,946.29,944.79
97-15,Shallow,16-Jun,934.4,645498.858,5867570.39,937.33,932.83
97-17,Shallow,16-Jun,945.92,645625.483,5867569.257,947.08,944.08
97-29,Shallow,16-Jun,934.99,645492.735,5867495.976,935.49,932.49
04-47-2,Medial,16-Jun,943.55,645464.338,5867882.073,939.97,938.77
35400,Medial,16-Jun,942.51,645466.113,5867811.902,941.7,938.7
43471,Medial,16-Jun,946.85,645616.647,5867784.12,942.3,939.3
43486,Medial,16-Jun,946,645607.793,5867740.539,942.14,939.14
04-42-2,Medial,16-Jun,938.09,645468.863,5867759.085,934.34,933.34
04-42-3,Medial,16-Jun,942.55,645468.696,5867761.939,943.87,940.87
35339,Medial,16-Jun,933.37,645556.795,5867631.505,934.17,931.17
35340,Medial,16-Jun,942.42,645558.806,5867632.446,943.07,940.07
97-23-2,Medial,16-Jun,940.06,645471.456,5867631.737,938.36,935.36
43485,Medial,16-Jun,946.2,645662.433,5867634.846,942.65,939.65
01-22-1,Medial,16-Jun,943.59,645567.715,5867710.702,941.22,938.22
05-55,Medial,16-Jun,945.88,645602.632,5867657.507,940.96,937.96
35186,Medial,16-Jun,944.84,645669.422,5867805.151,942.5,939.5
43472,Medial,16-Jun,945.95,645697.019,5867738.909,943.32,940.32
01-38-1,Medial,16-Jun,943.01,645672.309,5867872.523,942.23,939.23
43469,Medial,16-Jun,943.9,645755.632,5867807.28,942.73,939.73
43473,Medial,16-Jun,944.63,645689.879,5867669.729,942.94,939.84
04-43-2,Medial,16-Jun,944.68,645813.24,5867677.797,941.64,940.14
43466,Medial,16-Jun,943.78,645849.898,5867737.224,943.26,940.26
43468,Medial,16-Jun,943.72,645818.558,5867804.822,943.21,940.11
01-37-1,Medial,16-Jun,942.93,645810.991,5867874.964,942.11,939.11
04-48,Medial,16-Jun,937.6,645848.377,5867928.104,932.07,931.07
06-60,Medial,16-Jun,943.9,645851.026,5867823.56,943.76,940.76
04-46-2,Medial,16-Jun,942.78,645616.062,5867930.462,939.72,938.22
TH3,Medial,16-Jun,941.14,645846.34,5867955.399,938.98,937.98
TH8,Medial,16-Jun,942.32,645627.226,5868004.822,942.27,942.07
04-44-2,Medial,16-Jun,944.37,645897.96,5867660.735,942.29,940.79
04-45-2,Medial,16-Jun,941.85,646043.939,5867664.508,940.78,937.78
02-41-2,Medial,16-Jun,940.09,645531.708,5868078.322,939.8,936.3
97-16,Medial,16-Jun,942.4,645562.765,5867581.984,942.84,939.84
97-18,Medial,16-Jun,943.09,645578.414,5867556.733,943.79,940.79
97-24,Medial,16-Jun,944.02,645602.327,5867454.493,943.26,940.26
97-25,Medial,16-Jun,944.79,645662.667,5867455.665,944.37,941.37
97-26,Medial,16-Jun,942.18,645553.462,5867503.603,940.19,937.19
97-27,Medial,16-Jun,944.57,645615.964,5867506.206,944.39,941.39
97-30,Medial,16-Jun,941.84,645544.922,5867456.289,940.24,937.24
97-31,Medial,16-Jun,942.71,645565.069,5867465.656,941.67,938.67
97-32,Medial,16-Jun,941.65,645535.413,5867531.617,939.18,936.18
98-34,Medial,16-Jun,941.48,645538.164,5867382.607,940.34,937.34
98-35,Medial,16-Jun,940.9,645519.588,5867424.011,939.24,936.24
98-36,Medial,16-Jun,942.49,645563.338,5867427.242,941.38,938.38
43598,Medial,16-Jun,939.39,645470.854,5867572.661,935.92,932.92
04-47-1,Deep,16-Jun,939.18,645464.558,5867886.318,934.48,933.48
43561,Deep,16-Jun,933.25,645616.606,5867787.661,933.26,931.76
38139,Deep,16-Jun,940.86,645617.111,5867789.854,919.22,917.72
04-42-1,Deep,16-Jun,929.35,645469.024,5867755.857,920.83,919.33
35370,Deep,16-Jun,933.46,645508.899,5867693.107,930.55,924.55
43565,Deep,16-Jun,930.33,645553.921,5867643.033,921.16,919.66
43568,Deep,16-Jun,929.06,645470.693,5867626.456,925.98,922.98
96-13-1,Deep,16-Jun,933.4,645726.661,5867929.738,932.29,929.29
43559,Deep,16-Jun,934.83,645757.302,5867804.567,934.2,932.7
43568,Deep,16-Jun,938.18,645734.351,5867929.738,937.19,936.19
04-43-1,Deep,16-Jun,933.28,645816.089,5867677.797,930.67,924.17
43556,Deep,16-Jun,937.03,645849.998,5867734.271,934.2,932.7
37987,Deep,16-Jun,927.87,645850.293,5867732.309,919.44,918.44
06-59,Deep,16-Jun,935.68,645850.426,5867824.793,931.46,929.96
04-46-1,Deep,16-Jun,933.24,645612.782,5867930.462,932.51,931.01
04-44-1,Deep,16-Jun,935.49,645899.898,5867660.724,932.32,931.32
04-45-1,Deep,16-Jun,937.47,646045.704,5867664.508,929.63,928.13
02-40,Deep,16-Jun,934.4,645664.808,5868075.522,931.7,930.1
02-41-1,Deep,16-Jun,933.29,645531.508,5868079.322,930.3,928.8
97-14-1,Deep,16-Jun,933.47,645462.899,5867566.901,931.76,930.26
97-28,Deep,16-Jun,933.55,645487.676,5867446.384,931.42,928.42
98-16,Deep,16-Jun,933.4,645562.15,5867587.833,933.73,930.73
98-26,Deep,16-Jun,933.53,645557.74,5867509.579,933.01,930.01
02-39,Deep,16-Jun,931.26,645209.264,5867914.522,931.2,928.2
